Athlete,Team,Score,Remark,Form
WENG Linxu,SGP,8.49,2ND Prize,. Men's Other Barehand Routines -Group A/B
YAP Jun Kai,MYS,8.48,3RD Prize,. Men's Other Barehand Routines -Group A/B
CHIN Shawn,MYS,8.46,3RD Prize,. Men's Other Barehand Routines -Group A/B
TAN Qi Han Darren,SGP,8.43,3RD Prize,. Men's Other Barehand Routines -Group A/B
ZHANG Jason,USA,8.43,3RD Prize,. Men's Other Barehand Routines -Group A/B
WANG Allan Chenxi,USA,8.41,,. Men's Other Barehand Routines -Group A/B
ZHOU Zichin,AUS,8.4,,. Men's Other Barehand Routines -Group A/B
RAZO ACOSTA Jose Luis,MEX,8.37,,. Men's Other Barehand Routines -Group A/B
TORRES RODRIGUEZ Mario Rafael,MEX,8.35,,. Men's Other Barehand Routines -Group A/B
DIMEGLIO Charlene Jasmine,USA,(DNS),,. Men's Other Barehand Routines -Group A/B
KUCUKAKYUZ Kaan,TUR,8.61,1ST Prize,. Men's Other Nanquan Routines-Group C
DE OLIVEIRA PICONE Arthur,BRA,8.6,1ST Prize,. Men's Other Nanquan Routines-Group C
KOVALOV Mykyta,UKR,8.59,1ST Prize,. Men's Other Nanquan Routines-Group C
SILVA VERA Miguel,ESP,8.59,2ND Prize,. Men's Other Nanquan Routines-Group C
PRADO DE MELO Jorge Augusto,BRA,8.57,2ND Prize,. Men's Other Nanquan Routines-Group C
WRINN Benjamin Charles,USA,8.57,2ND Prize,. Men's Other Nanquan Routines-Group C
TELESSINOV Arman,KAZ,8.56,2ND Prize,. Men's Other Nanquan Routines-Group C
CHEN Zheyu,USA,8.56,3RD Prize,. Men's Other Nanquan Routines-Group C
TOUROUTSIKAS Panagiotis,GRC,8.55,3RD Prize,. Men's Other Nanquan Routines-Group C
BROUSALIS Panagiotis,GRC,8.54,3RD Prize,. Men's Other Nanquan Routines-Group C
ONIANI Giorgi,GEO,8.54,3RD Prize,. Men's Other Nanquan Routines-Group C
VIRO Lazuardi Jana,IDN,8.53,3RD Prize,. Men's Other Nanquan Routines-Group C
DERZKO Franciszek Jan,POL,8.53,3RD Prize,. Men's Other Nanquan Routines-Group C
CHEONG Io Kei,MAC,8.53,3RD Prize,. Men's Other Nanquan Routines-Group C
MAKRIS Panagiotis,GRC,8.52,3RD Prize,. Men's Other Nanquan Routines-Group C
BAZZARA Mario Faris,ITA,8.52,,. Men's Other Nanquan Routines-Group C
HUSAK Lukas,CZE,8.51,,. Men's Other Nanquan Routines-Group C
MIU Andrei Eduard,ROU,8.51,,. Men's Other Nanquan Routines-Group C
TURCHIAROLO Gaetano Attilio,ITA,8.51,,. Men's Other Nanquan Routines-Group C
PAPATHANASIOU Theodoros Marios,GRC,8.5,,. Men's Other Nanquan Routines-Group C
KREMMYDAS Panagiotis,GRC,8.48,,. Men's Other Nanquan Routines-Group C
WITHANAGE Oshan Chalakshana,LKA,8.46,,. Men's Other Nanquan Routines-Group C
MENEZ ALARCON Arhat,MEX,8.45,,. Men's Other Nanquan Routines-Group C
DINCU Mihai Daniel,ROU,8.44,,. Men's Other Nanquan Routines-Group C
BENSADOUNE Haithem,DZA,(DNS),,. Men's Other Nanquan Routines-Group C
ALVAREZ RUIZ Mario Alejandro,MEX,8.58,1ST Prize,. Men's Yingzhaoquan (Eagle Style)- Group C
NAIDA Bohdan,UKR,8.55,2ND Prize,. Men's Yingzhaoquan (Eagle Style)- Group C
RAINERS Andzans,LVA,8.52,3RD Prize,. Men's Yingzhaoquan (Eagle Style)- Group C
BOJORQUEZ LOPEZ Roger,MEX,8.51,3RD Prize,. Men's Yingzhaoquan (Eagle Style)- Group C
RIVAS RODRIGUEZ Humberto,MEX,8.5,,. Men's Yingzhaoquan (Eagle Style)- Group C
KUCHERUK Nikita,UKR,(DNS),,. Men's Yingzhaoquan (Eagle Style)- Group C
Jack William CALDICOTT,GBR,8.66,1ST Prize,. Men's Bajiquan-Group C
YEUNG Cheuk Yin,HKG,8.62,2ND Prize,. Men's Bajiquan-Group C
JULLIAN Banyan Noel Yu Hai,USA,8.54,3RD Prize,. Men's Bajiquan-Group C
BRAYTON Marshall Tsan-Wei,USA,8.52,3RD Prize,. Men's Bajiquan-Group C
ANTILLON MALDONADO Cristian Ricardo,MEX,8.48,,. Men's Bajiquan-Group C
ABDALLA WAEL Mostafa Abdelkarim,EGY,8.41,,. Men's Bajiquan-Group C
MALAK MOHAMED Omar Montasser,EGY,(DNS),,. Men's Bajiquan-Group C
BOUKHENNOUFA Yacine,DZA,(DNS),,. Men's Bajiquan-Group C
AMMAR MOHAMED Ibrahim Ismail,EGY,8.64,1ST Prize,. Men's Chaquan - Group C
Junayde Ilhan GUVEN,GBR,8.6,1ST Prize,. Men's Chaquan - Group C
GERMANOZASHVILI Giorgi,GEO,8.58,2ND Prize,. Men's Chaquan - Group C
XIAN Daniel Haocheng,USA,8.56,2ND Prize,. Men's Chaquan - Group C
CHOW Yu Hong,HKG,8.56,2ND Prize,. Men's Chaquan - Group C
NUTSUBIDZE Nikolozi,GEO,8.54,3RD Prize,. Men's Chaquan - Group C
LIU Dominik Xinyang,GBR,8.53,3RD Prize,. Men's Chaquan - Group C
MALEYEV Kirill,KAZ,8.52,3RD Prize,. Men's Chaquan - Group C
WANG Bryant Xu,USA,8.52,3RD Prize,. Men's Chaquan - Group C
TULEYEV Aldiyar,KAZ,8.5,3RD Prize,. Men's Chaquan - Group C
PUZIS Timur,ISR,8.49,,. Men's Chaquan - Group C
DAYARATHNE Thalagahamula Gedara Kavindu Sahan,LKA,8.48,,. Men's Chaquan - Group C
LU Kelvin Yu,USA,8.45,,. Men's Chaquan - Group C
GUNATUNGA Sapukotanage Maneetha Charanaravinda,LKA,8.45,,. Men's Chaquan - Group C
BAI Lawren,USA,8.45,,. Men's Chaquan - Group C
ADHIKARI MUDIYANSELAGE Keshan Adhikari,LKA,8.38,,. Men's Chaquan - Group C
LEI Wang Chun,HKG,8.63,1ST Prize,. Men's Huaquan- Group C
EDILASHVILI Saba,GEO,8.6,2ND Prize,. Men's Huaquan- Group C
LI Jasper Zhen Bao,USA,8.56,3RD Prize,. Men's Huaquan- Group C
BAI Jiwei,CAN,8.53,3RD Prize,. Men's Huaquan- Group C
MUSTAFIN Nurlan,KAZ,8.49,,. Men's Huaquan- Group C
CHEOK Wa Weng,MAC,8.48,,. Men's Huaquan- Group C
MARCHESI Giorgio,ITA,8.61,1ST Prize,. Men's Shaolinquan-Group C
MUKHAMETOV Alizhan,KAZ,8.6,1ST Prize,. Men's Shaolinquan-Group C
KORENC Karel,CZE,8.57,2ND Prize,. Men's Shaolinquan-Group C
KOUPSTAS Iliya,ISR,8.56,2ND Prize,. Men's Shaolinquan-Group C
OMAR EMAD Shehata Tony,EGY,8.55,2ND Prize,. Men's Shaolinquan-Group C
CHEN Charlie Samuel,USA,8.53,3RD Prize,. Men's Shaolinquan-Group C
IFARGAN Yuval,ISR,8.52,3RD Prize,. Men's Shaolinquan-Group C
YOUSSEF OSAMA Abdelhalim Elsaeed,EGY,8.51,3RD Prize,. Men's Shaolinquan-Group C
Matthew Carleton WRIGHT,GBR,8.51,3RD Prize,. Men's Shaolinquan-Group C
EL MABROUK Rafed,TUN,8.5,3RD Prize,. Men's Shaolinquan-Group C
BREZETOS Georgios,GRC,8.5,,. Men's Shaolinquan-Group C
YOSHIDA Yuhi,JPN,8.5,,. Men's Shaolinquan-Group C
MOHAMED ELAGAMI Abdalla Rashad,EGY,8.49,,. Men's Shaolinquan-Group C
PUZIS Kiril,ISR,8.42,,. Men's Shaolinquan-Group C
MENDEZ COBA Jose Fernando,MEX,8.4,,. Men's Shaolinquan-Group C
TRAIZE Miron,KAZ,8.39,,. Men's Shaolinquan-Group C
DONG Lucas Bogang,USA,8.61,1ST Prize,. Men's Xingyiquan-Group C
HO Ching Hin,HKG,8.6,2ND Prize,. Men's Xingyiquan-Group C
BOROOAH Arhaan,IND,8.58,3RD Prize,. Men's Xingyiquan-Group C
ZHENG Lin,USA,8.57,3RD Prize,. Men's Xingyiquan-Group C
IMI ARACHILLAGE Anuhas Chandupa Ranaweera,LKA,8.4,,. Men's Xingyiquan-Group C
MGQIBISA Luvuyolwethu Sphesihle,ZAF,8.32,,. Men's Xingyiquan-Group C
WU Brad Tianzhou,USA,(DNS),,. Men's Xingyiquan-Group C
WANG Justin Xuming,USA,8.64,1ST Prize,. Men's Other Barehand Routines-Group C
SHEN Justin,USA,8.6,1ST Prize,. Men's Other Barehand Routines-Group C
SHYNKARENKO Volodymyr,UKR,8.58,1ST Prize,. Men's Other Barehand Routines-Group C
LIU Albert,USA,8.54,2ND Prize,. Men's Other Barehand Routines-Group C
DJUNAIDY Dexton Jax,USA,8.54,2ND Prize,. Men's Other Barehand Routines-Group C
GALVANINE WILLE Heitor,BRA,8.53,2ND Prize,. Men's Other Barehand Routines-Group C
SPIRO Oliver Sheldon,USA,8.53,2ND Prize,. Men's Other Barehand Routines-Group C
LEW Casey Tianyu,USA,8.53,2ND Prize,. Men's Other Barehand Routines-Group C
VON DEM BRUCH Noah James,USA,8.52,2ND Prize,. Men's Other Barehand Routines-Group C
PETRAKOVSKIY Denis,KAZ,8.52,3RD Prize,. Men's Other Barehand Routines-Group C
ZHADIGER Alkarim,KAZ,8.52,3RD Prize,. Men's Other Barehand Routines-Group C
WAIBLINGER Adrian Hou,USA,8.52,3RD Prize,. Men's Other Barehand Routines-Group C
HUANG Daniel Jiang,USA,8.5,3RD Prize,. Men's Other Barehand Routines-Group C
BERRY Jake Anthony,ZAF,8.5,3RD Prize,. Men's Other Barehand Routines-Group C
MARCEL Gavin Julian,USA,8.49,3RD Prize,. Men's Other Barehand Routines-Group C
FARR Preston Minghan,USA,8.48,3RD Prize,. Men's Other Barehand Routines-Group C
ZHANG Jayden Tianyi,CAN,8.48,3RD Prize,. Men's Other Barehand Routines-Group C
MAHMOUD AHMED Abdalla Abdelhalim,EGY,8.48,,. Men's Other Barehand Routines-Group C
SRNEC Dominik Ramil,SVK,8.47,,. Men's Other Barehand Routines-Group C
DA GAMA BARJA David,PRT,8.47,,. Men's Other Barehand Routines-Group C
DE CIMA FERNANDES Edgar,PRT,8.46,,. Men's Other Barehand Routines-Group C
LEUNG Wai Man,HKG,8.46,,. Men's Other Barehand Routines-Group C
SEMYESHKIN Konstantin,LVA,8.45,,. Men's Other Barehand Routines-Group C
HUANG Samuel Jiang,USA,8.45,,. Men's Other Barehand Routines-Group C
SOTHERN Rhyse Kegan,ZAF,8.44,,. Men's Other Barehand Routines-Group C
NEDELEA Andrei Mario,ROU,8.44,,. Men's Other Barehand Routines-Group C
MOHAMED AHMED Fathalla Taha,EGY,8.42,,. Men's Other Barehand Routines-Group C
TASOPOULOS Ioannis,GRC,8.42,,. Men's Other Barehand Routines-Group C
LI Chengrui,USA,(DNS),,. Men's Other Barehand Routines-Group C
XIAN Daniel Haocheng,USA,(DNS),,. Men's Other Barehand Routines-Group C
TELESSINOV Arman,KAZ,(DNS),,. Men's Other Barehand Routines-Group C
ARUTYUNJAN Aurora,HUN,8.46,1ST Prize,. Women's Shaolinquan-Group B
KARMEN ADEL Rashad Khater,EGY,8.38,2ND Prize,. Women's Shaolinquan-Group B
SILVA CONCEICAO Lorena,BRA,8.37,3RD Prize,. Women's Shaolinquan-Group B
TRAIZE Arina,KAZ,8.34,3RD Prize,. Women's Shaolinquan-Group B
ARAUZ NIEVES Luciana,MEX,8.22,,. Women's Shaolinquan-Group B
SCHUR CHEN Annie,FRA,8.7,1ST Prize,. Women's Other Barehand Routines-Group A/B
WU Kai Yee,HKG,8.69,1ST Prize,. Women's Other Barehand Routines-Group A/B
DING Sabrina,USA,8.57,1ST Prize,. Women's Other Barehand Routines-Group A/B
LI Winifred Zhen Ping,USA,8.55,2ND Prize,. Women's Other Barehand Routines-Group A/B
MATOS RODRIGUES Ana Carla,BRA,8.55,2ND Prize,. Women's Other Barehand Routines-Group A/B
LIM Verna,MYS,8.52,2ND Prize,. Women's Other Barehand Routines-Group A/B
CHONG Shin Yu,MYS,8.47,3RD Prize,. Women's Other Barehand Routines-Group A/B
SHEN Caitlyn,USA,8.47,3RD Prize,. Women's Other Barehand Routines-Group A/B
SILVA VIANA Layla Ketelen,BRA,8.46,3RD Prize,. Women's Other Barehand Routines-Group A/B
HAO Cindy Yuan,USA,8.44,3RD Prize,. Women's Other Barehand Routines-Group A/B
HUANACUNI PINEDO Pakari Nayra,BOL,8.41,,. Women's Other Barehand Routines-Group A/B
SYAIDHA Hajarah,MYS,8.38,,. Women's Other Barehand Routines-Group A/B
ARUTYUNJAN Adelaida,HUN,8.35,,. Women's Other Barehand Routines-Group A/B
GORDON Ayla Nunnehi,USA,(DNS),,. Women's Other Barehand Routines-Group A/B
CHANDRASEKARA JAYARATHNA MUDIYANSELAGE Gimhani Akarshana Bogollagama,LKA,(DNS),,. Women's Other Barehand Routines-Group A/B
LAM Weng San,MAC,8.66,1ST Prize,. Women's Other Nanquan Routines-Group C
ALTUN Sude Merve,TUR,8.64,2ND Prize,. Women's Other Nanquan Routines-Group C
LEOW Le Yi Edda,SGP,8.64,2ND Prize,. Women's Other Nanquan Routines-Group C
MICHOU Despoina,GRC,8.61,3RD Prize,. Women's Other Nanquan Routines-Group C
AVAGYAN Siranush,ARM,8.6,3RD Prize,. Women's Other Nanquan Routines-Group C
TOUROUTSIKA Christina,GRC,8.6,3RD Prize,. Women's Other Nanquan Routines-Group C
HUANG Emma Mei,USA,8.59,,. Women's Other Nanquan Routines-Group C
BANCOS Ema Alexandra,ROU,8.57,,. Women's Other Nanquan Routines-Group C
CHEN Haoran,SGP,8.53,,. Women's Other Nanquan Routines-Group C
WIJESUNDARA MUDIYANSELAGE Matheesha Gimhani Wijesundara,LKA,8.5,,. Women's Other Nanquan Routines-Group C
LEONG Wai Lam,MAC,8.61,1ST Prize,. Women's Baguazhang-Group C
SPULE Estere So?ja,LVA,8.6,2ND Prize,. Women's Baguazhang-Group C
CHUKANOVA Kristina,UKR,8.58,3RD Prize,. Women's Baguazhang-Group C
HUANG Sophie Qianshu,USA,8.49,3RD Prize,. Women's Baguazhang-Group C
ZHANG Ashley Youran,USA,8.4,,. Women's Baguazhang-Group C
LY Kayla Caroling,USA,8.32,,. Women's Baguazhang-Group C
MALAK MOHAMED Omar Montasser,EGY,8.87,1ST Prize,. Women's Bajiquan-Group C
BALASOVA An?sa,LVA,8.76,2ND Prize,. Women's Bajiquan-Group C
MENA TORRES Michelle,MEX,8.68,2ND Prize,. Women's Bajiquan-Group C
KOGAN Erika,ISR,8.67,3RD Prize,. Women's Bajiquan-Group C
JRIBI Chourouk,TUN,8.6,3RD Prize,. Women's Bajiquan-Group C
AISPURO BRINGAS Marisol Guadalupe,MEX,8.55,3RD Prize,. Women's Bajiquan-Group C
SINHALA PELI GEDARA Tanisha Keshavi Nawangi Ranasingha,LKA,8.43,,. Women's Bajiquan-Group C
DABUKA GEDARA Therani Nehara Thilakarathne,LKA,8.42,,. Women's Bajiquan-Group C
KHUVINDAHANDI Shavindi Ayodhya De Silva,LKA,8.41,,. Women's Bajiquan-Group C
WANG Joy Zy,USA,8.76,1ST Prize,. Women's Chaquan-Group C
LEE Hiu Ching,HKG,8.72,2ND Prize,. Women's Chaquan-Group C
COSKUN Ayse Sina,TUR,8.7,2ND Prize,. Women's Chaquan-Group C
FRENEKL Sasha,ISR,8.64,3RD Prize,. Women's Chaquan-Group C
ZIPOR Galia,ISR,8.64,3RD Prize,. Women's Chaquan-Group C
APKHAZAVA Sopiko,GEO,8.6,3RD Prize,. Women's Chaquan-Group C
ARZIANI Mariam,GEO,8.6,3RD Prize,. Women's Chaquan-Group C
YU Ellany,USA,8.58,,. Women's Chaquan-Group C
VLADAREANU Gabriela,ROU,8.58,,. Women's Chaquan-Group C
SONOWAL Kashyapi,IND,8.55,,. Women's Chaquan-Group C
MAXUTOVA Zarina,KAZ,8.53,,. Women's Chaquan-Group C
SILBERSTEIN Mia Jacquelyn,USA,8.47,,. Women's Chaquan-Group C
SPYRIDOU Melina,GRC,8.67,1ST Prize,. Women's Shaolinquan-Group C
BERIY Michal,ISR,8.66,1ST Prize,. Women's Shaolinquan-Group C
MARRA Lara,ITA,8.65,2ND Prize,. Women's Shaolinquan-Group C
HAO Youyang,USA,8.63,2ND Prize,. Women's Shaolinquan-Group C
LOK Mai Cheng,MAC,8.61,2ND Prize,. Women's Shaolinquan-Group C
MUKHAMETOVA Aidana,KAZ,8.59,2ND Prize,. Women's Shaolinquan-Group C
FOTINOGIANNOPOULOU Konstantina,GRC,8.59,3RD Prize,. Women's Shaolinquan-Group C
VAN DER MESCHT Kitana Cora,ZAF,8.56,3RD Prize,. Women's Shaolinquan-Group C
ARUTYUNJAN Anna Maria,HUN,8.54,3RD Prize,. Women's Shaolinquan-Group C
FIETZE Mila Claryssa Esselen,ZAF,8.53,3RD Prize,. Women's Shaolinquan-Group C
Lilly May WRIGHT,GBR,8.53,3RD Prize,. Women's Shaolinquan-Group C
BASSI Giulia,ITA,8.52,3RD Prize,. Women's Shaolinquan-Group C
NADARIO FREITAS Maria Eduarda,BRA,8.47,,. Women's Shaolinquan-Group C
FIALOVA Barbora,CZE,8.46,,. Women's Shaolinquan-Group C
PANAGOPOULOY Kyriaki,GRC,8.43,,. Women's Shaolinquan-Group C
SHIBATA Riin,JPN,8.43,,. Women's Shaolinquan-Group C
MALAK IBRAHIM Abouelmaati Mohamed,EGY,8.35,,. Women's Shaolinquan-Group C
MTSHALI Uthembekile,ZAF,8.33,,. Women's Shaolinquan-Group C
SHIBATA Kanon,JPN,8.25,,. Women's Shaolinquan-Group C
TAMPAKI Dimitra,GRC,8.24,,. Women's Shaolinquan-Group C
PUZIS Nikol,ISR,(DNS),,. Women's Shaolinquan-Group C
AKYUZ Ayse Sude,TUR,8.85,1ST Prize,. Women's Other Barehand Routines-Group C
WONG Man Ting,HKG,8.75,1ST Prize,. Women's Other Barehand Routines-Group C
JAZMIN Alag,MYS,8.64,1ST Prize,. Women's Other Barehand Routines-Group C
DING Catrina,USA,8.61,2ND Prize,. Women's Other Barehand Routines-Group C
NEDELEA Ana Maria,ROU,8.6,2ND Prize,. Women's Other Barehand Routines-Group C
LAM Xue Ying,MYS,8.56,2ND Prize,. Women's Other Barehand Routines-Group C
HUANG Susie,HKG,8.55,2ND Prize,. Women's Other Barehand Routines-Group C
LY Elva Elizabeth,USA,8.51,2ND Prize,. Women's Other Barehand Routines-Group C
LOBITZ Adel,HUN,8.51,3RD Prize,. Women's Other Barehand Routines-Group C
RABICO VIDEIRA Maria,PRT,8.51,3RD Prize,. Women's Other Barehand Routines-Group C
KOURTIDOU Ioanna Nefeli,GRC,8.5,3RD Prize,. Women's Other Barehand Routines-Group C
MO Emily Dongli,USA,8.49,3RD Prize,. Women's Other Barehand Routines-Group C
MASKOVA Anna,CZE,8.49,3RD Prize,. Women's Other Barehand Routines-Group C
ZHAO Hailey Hu,USA,8.49,3RD Prize,. Women's Other Barehand Routines-Group C
LUU Pham Thanh Thanh,VNM,8.47,3RD Prize,. Women's Other Barehand Routines-Group C
HOANG Vy Yen Nhi,VNM,8.47,3RD Prize,. Women's Other Barehand Routines-Group C
WONG Zhong Wei,MYS,8.47,,. Women's Other Barehand Routines-Group C
DUMITRU Ana Maria,ROU,8.47,,. Women's Other Barehand Routines-Group C
GEORGA Eleni Anna,GRC,8.45,,. Women's Other Barehand Routines-Group C
MARCEL Daniela Mckenzie,USA,8.44,,. Women's Other Barehand Routines-Group C
MEEGODA KANKANAMGE DON Dinari Sineli Meegoda,LKA,8.41,,. Women's Other Barehand Routines-Group C
?ELE?OVÁ Diana,SVK,8.4,,. Women's Other Barehand Routines-Group C
RANCY HAMED Zaki Hamed,EGY,8.36,,. Women's Other Barehand Routines-Group C
IMBULAPITIYE GEDARA Pramodya Sewmini Rathnayake,LKA,8.33,,. Women's Other Barehand Routines-Group C
RODRIGUES CHARNECO Mariana,PRT,8.29,,. Women's Other Barehand Routines-Group C
KWAN Ning Wai,HKG,8.74,1ST Prize,. Women's Hongjiaquan (Hung Gar) -Group D
TAN Shi Xuan Esther,SGP,8.65,2ND Prize,. Women's Hongjiaquan (Hung Gar) -Group D
LOW Qiu Min Elicia,SGP,8.62,3RD Prize,. Women's Hongjiaquan (Hung Gar) -Group D
RYCHLEWSKA Emila Marta,POL,8.58,3RD Prize,. Women's Hongjiaquan (Hung Gar) -Group D
VATZAKA Christina,GRC,8.55,,. Women's Hongjiaquan (Hung Gar) -Group D
LEE Wing Yung,HKG,8.73,1ST Prize,. Women's Other Southern Routines-Group D
KALUARACHCHI Devni Chamodya,SGP,8.61,1ST Prize,. Women's Other Southern Routines-Group D
SIRTO Elisabetta,ITA,8.59,2ND Prize,. Women's Other Southern Routines-Group D
ALEXANDRA Dwi Putri,IDN,8.58,2ND Prize,. Women's Other Southern Routines-Group D
BEKIARI Maria Ioanna,GRC,8.58,2ND Prize,. Women's Other Southern Routines-Group D
ZAVIALOVA Svitlana,UKR,8.57,2ND Prize,. Women's Other Southern Routines-Group D
BENCINI CRUZ Silvia,PRT,8.57,3RD Prize,. Women's Other Southern Routines-Group D
LE Tran Bao Tran,VNM,8.57,3RD Prize,. Women's Other Southern Routines-Group D
LEE Sze Min Josephine,SGP,8.57,3RD Prize,. Women's Other Southern Routines-Group D
LAMPADA Maria,GRC,8.56,3RD Prize,. Women's Other Southern Routines-Group D
PAPAGEORGOPOULOU Marina,GRC,8.55,3RD Prize,. Women's Other Southern Routines-Group D
TAN Wei Qing Regina,SGP,8.53,3RD Prize,. Women's Other Southern Routines-Group D
MICU Lorena Eliana,ROU,8.53,,. Women's Other Southern Routines-Group D
CIECHANOWSKA Magdalena Katarzyna,POL,8.52,,. Women's Other Southern Routines-Group D
KAUR Karamjit,IND,8.5,,. Women's Other Southern Routines-Group D
LIONTOU Ioanna,GRC,8.5,,. Women's Other Southern Routines-Group D
SKORUPA Agnieszka Barbara,POL,8.49,,. Women's Other Southern Routines-Group D
VILLALONGA SEBASTIA Elena,ESP,8.45,,. Women's Other Southern Routines-Group D
PODAKANTI Pavithra Chary,IND,8.45,,. Women's Other Southern Routines-Group D
TEMIME Kahina,DZA,(DNS),,. Women's Other Southern Routines-Group D
JING Xuecai,CHN,8.71,1ST Prize,. Men's Gun (Cudgel/Sta?)- Group E
PUZIS Rami,ISR,8.54,2ND Prize,. Men's Gun (Cudgel/Sta?)- Group E
JIA Meng,CHN,8.51,3RD Prize,. Men's Gun (Cudgel/Sta?)- Group E
FUKUNISHI Tadashi,JPN,8.48,3RD Prize,. Men's Gun (Cudgel/Sta?)- Group E
HUANACUNI MAMANI Fernando,BOL,8.48,,. Men's Gun (Cudgel/Sta?)- Group E
SMOOK Christiaan Harold,ZAF,8.46,,. Men's Gun (Cudgel/Sta?)- Group E
ALKELANY Farouk Alkelany,EGY,8.41,,. Men's Gun (Cudgel/Sta?)- Group E
IOANA Florin,ROU,(DNS),,. Men's Gun (Cudgel/Sta?)- Group E
BEIBALAYEV Artyom,KAZ,(DNS),,. Men's Gun (Cudgel/Sta?)- Group E
Mamadou FALL,SEN,(DNS),,. Men's Gun (Cudgel/Sta?)- Group E
FESCHENKO Daniil,UKR,8.67,1ST Prize,. Men's Other Soft-Weapon -Group D/E/F
HO Yin Ching,HKG,8.64,1ST Prize,. Men's Other Soft-Weapon -Group D/E/F
TEO Chee Wei,SGP,8.62,2ND Prize,. Men's Other Soft-Weapon -Group D/E/F
ZAMOLO Giuliano Isa,ROU,8.58,2ND Prize,. Men's Other Soft-Weapon -Group D/E/F
MORALES GARCIA Jose Luis,ESP,8.57,3RD Prize,. Men's Other Soft-Weapon -Group D/E/F
GALLARDO GONZALO Ivan,ESP,8.55,3RD Prize,. Men's Other Soft-Weapon -Group D/E/F
SHEN Aspen Ziyang,USA,8.53,3RD Prize,. Men's Other Soft-Weapon -Group D/E/F
KEYS Aaron Jamaal,USA,8.51,,. Men's Other Soft-Weapon -Group D/E/F
RODRIGUES DOS REIS Pedro Henrique,BRA,8.5,,. Men's Other Soft-Weapon -Group D/E/F
WU Shao Jie,AUS,8.4,,. Men's Other Soft-Weapon -Group D/E/F
TSIKRIKAS Konstantinos,GRC,8.37,,. Men's Other Soft-Weapon -Group D/E/F
ARAB Nadir,DZA,(DNS),,. Men's Other Soft-Weapon -Group D/E/F
KWAN Siew Hung,SGP,8.74,1ST Prize,. Men's Other Single-Weapon Routines- Group F
OTAKA Kazuhiko,JPN,8.72,2ND Prize,. Men's Other Single-Weapon Routines- Group F
CHEN Zuobin,CHN,8.64,3RD Prize,. Men's Other Single-Weapon Routines- Group F
MOHAMMED Ahmad Faizal,SGP,8.57,3RD Prize,. Men's Other Single-Weapon Routines- Group F
LOPATKIN Evgenii,KGZ,8.57,,. Men's Other Single-Weapon Routines- Group F
KARDOS Gabor,HUN,8.5,,. Men's Other Single-Weapon Routines- Group F
HACKNER Allan Jonathan,ZAF,8.48,,. Men's Other Single-Weapon Routines- Group F
ZHYVOTOK Heorhii,UKR,8.64,1ST Prize,. Men's Other Single-Weapon Routines-Group D
MURATBEK UULU Edil,KGZ,8.62,2ND Prize,. Men's Other Single-Weapon Routines-Group D
HASHCHUK Artem,UKR,8.61,2ND Prize,. Men's Other Single-Weapon Routines-Group D
YAP Wei Sheng Wilson,SGP,8.6,3RD Prize,. Men's Other Single-Weapon Routines-Group D
HATALA Patrik,SVK,8.59,3RD Prize,. Men's Other Single-Weapon Routines-Group D
ESWAL Abhijeet,IND,8.54,,. Men's Other Single-Weapon Routines-Group D
BALOGH Barnabas,HUN,8.53,,. Men's Other Single-Weapon Routines-Group D
LIM Giovanni Moses,PHL,8.52,,. Men's Other Single-Weapon Routines-Group D
MOHAMMED Mugahed Mohammed Hussein,YEM,(DNS),,. Men's Other Single-Weapon Routines-Group D
LWZA Bassam Ahmed Ali Rezq,YEM,(DNS),,. Men's Other Single-Weapon Routines-Group D
PHAM Nguyen Hoang Phuc,VNM,8.7,1ST Prize,. Men's Nangun (Southern Sta?/Cudgel)-Group D
KAMA Muhammet Can,TUR,8.63,2ND Prize,. Men's Nangun (Southern Sta?/Cudgel)-Group D
MAMEDOVI Rauli,GEO,8.59,2ND Prize,. Men's Nangun (Southern Sta?/Cudgel)-Group D
NISIOTIS Nikolaos,GRC,8.58,3RD Prize,. Men's Nangun (Southern Sta?/Cudgel)-Group D
MA?NICKI Konrad,POL,8.57,3RD Prize,. Men's Nangun (Southern Sta?/Cudgel)-Group D
TESTARDINI Matteo,ITA,8.56,,. Men's Nangun (Southern Sta?/Cudgel)-Group D
VALIEV Ilyoskhon,TJK,8.53,,. Men's Nangun (Southern Sta?/Cudgel)-Group D
NURMATOV Sherzod,TJK,8.39,,. Men's Nangun (Southern Sta?/Cudgel)-Group D
ZHAO Chuanhui,CHN,8.63,1ST Prize,. Men's Other Double-Weapon Routines-Group E/F
RAJA CATALA Vicente,ESP,8.62,2ND Prize,. Men's Other Double-Weapon Routines-Group E/F
LEUTZ Richard,BRA,8.59,3RD Prize,. Men's Other Double-Weapon Routines-Group E/F
DA ROSA Carlos Alberto,BRA,8.54,3RD Prize,. Men's Other Double-Weapon Routines-Group E/F
CHEUNG Wing Kit,HKG,8.53,,. Men's Other Double-Weapon Routines-Group E/F
CARRETERO MEDIAVILLA Jose,ESP,8.52,,. Men's Other Double-Weapon Routines-Group E/F
WEERASINGHE Jagath Kumara,LKA,8.45,,. Men's Other Double-Weapon Routines-Group E/F
ZHENG Wu,CHN,(DNS),,. Men's Other Double-Weapon Routines-Group E/F
LORENSU HEWAGE Nuwan Sanjeewa,LKA,(DNS),,. Men's Other Double-Weapon Routines-Group E/F
SEMAEV Oleg,KGZ,(DNS),,. Men's Other Double-Weapon Routines-Group E/F
