"","X","Team","Athlete","Score","Sex","Group","Form"
"310",310,"USA","Seth BURNS",8.81,"M","Group C","P Dao(Kwan Dao)"
"311",311,"INA","Arya GITA SENTOSA",8.75,"M","Group C","P Dao(Kwan Dao)"
"312",312,"CZE","Max PROCHAZKA",8.73,"M","Group C","P Dao(Kwan Dao)"
"313",313,"USA","Benny LAM",8.72,"M","Group C","P Dao(Kwan Dao)"
"314",314,"SVK","Michal REDHAMMER",8.71,"M","Group C","P Dao(Kwan Dao)"
"315",315,"MAS","Zer Xuan KOW",8.7,"M","Group C","P Dao(Kwan Dao)"
"316",316,"USA","Randall ROSS",8.69,"M","Group C","P Dao(Kwan Dao)"
"317",317,"USA","Jackson GALLAGHER",8.69,"M","Group C","P Dao(Kwan Dao)"
"318",318,"MAS","Wei Bin CHIN",8.65,"M","Group C","P Dao(Kwan Dao)"
"319",319,"USA","Hanson MA",8.61,"M","Group C","P Dao(Kwan Dao)"
"320",320,"USA","Eric YEH",8.6,"M","Group C","P Dao(Kwan Dao)"
"321",321,"USA","Benjamin WRINN",8.54,"M","Group C","P Dao(Kwan Dao)"
"322",322,"ITA","Joao Paulo PETITO",NA,"M","Group C","P Dao(Kwan Dao)"
"323",323,"USA","Vearnest McClellan lll",NA,"M","Group C","P Dao(Kwan Dao)"
"324",324,"ITA","Luca CASAGRANDE",8.78,"M","Group C","Qiang (Spear)"
"325",325,"SGP","Shannon Woo Hong Wei WOO",8.74,"M","Group C","Qiang (Spear)"
"326",326,"USA","Stephen LO",8.7,"M","Group C","Qiang (Spear)"
"327",327,"MAS","Mi Men TAN",8.68,"M","Group C","Qiang (Spear)"
"328",328,"USA","Lai TRAN",8.63,"M","Group C","Qiang (Spear)"
"329",329,"USA","Thomas HOU",8.6,"M","Group C","Qiang (Spear)"
"330",330,"AUS","Aaron KUOK",8.54,"M","Group C","Qiang (Spear)"
"331",331,"UKR","Dmytro GREBELNYI",8.65,"M","Group C","Shaolin Gun"
"332",332,"SVK","Tobias KITTA",8.61,"M","Group C","Shaolin Gun"
"333",333,"USA","Nick MADSEN",8.59,"M","Group C","Shaolin Gun"
"334",334,"GEO","Luka KHUTIASHVILI",8.58,"M","Group C","Shaolin Gun"
"335",335,"USA","Joshua WANG",8.56,"M","Group C","Shaolin Gun"
"336",336,"GEO","Guram PIRTSKHALAVA",8.55,"M","Group C","Shaolin Gun"
"337",337,"GER","Thomas SCHNEIDER",8.49,"M","Group C","Shaolin Gun"
"338",338,"ROU","Victor HASIEGANU",8.42,"M","Group C","Shaolin Gun"
"339",339,"FRA","Andre-gabriel METZMACHER",8.42,"M","Group C","Shaolin Gun"
"340",340,"USA","Brandon TENG",8.64,"M","Group C","Shaolin Quan"
"341",341,"USA","Jason LUO",8.63,"M","Group C","Shaolin Quan"
"342",342,"EGY","Mazen ABOUELKASEM",8.63,"M","Group C","Shaolin Quan"
"343",343,"ITA","Simone RULLO",8.62,"M","Group C","Shaolin Quan"
"344",344,"USA","William VO",8.61,"M","Group C","Shaolin Quan"
"345",345,"POL","Maksymilian Grzegorz MURSZEWSKI",8.61,"M","Group C","Shaolin Quan"
"346",346,"TPE","Yao Tso CHEN",8.6,"M","Group C","Shaolin Quan"
"347",347,"GER","Thomas SCHNEIDER",8.54,"M","Group C","Shaolin Quan"
"348",348,"USA","Benjamin ZHANG",8.54,"M","Group C","Shaolin Quan"
"349",349,"UKR","Dmytro GREBELNYI",8.52,"M","Group C","Shaolin Quan"
"350",350,"CZE","Karel KORENC",8.52,"M","Group C","Shaolin Quan"
"351",351,"USA","Seth BURNS",8.52,"M","Group C","Shaolin Quan"
"352",352,"GRE","Ioannis POLYZOS",8.51,"M","Group C","Shaolin Quan"
"353",353,"SVK","Tobias KITTA",8.51,"M","Group C","Shaolin Quan"
"354",354,"INA","Arya GITA SENTOSA",8.5,"M","Group C","Shaolin Quan"
"355",355,"USA","Neo CHANG",8.49,"M","Group C","Shaolin Quan"
"356",356,"ITA","William BADAS",8.49,"M","Group C","Shaolin Quan"
"357",357,"USA","Richard CHIN",8.49,"M","Group C","Shaolin Quan"
"358",358,"HUN","Roland Akos OLAH",8.47,"M","Group C","Shaolin Quan"
"359",359,"USA","Lai TRAN",8.46,"M","Group C","Shaolin Quan"
"360",360,"KAZ","Daniil ORAILO",8.44,"M","Group C","Shaolin Quan"
"361",361,"USA","Justin SU",8.43,"M","Group C","Shaolin Quan"
"362",362,"INA","Hans SANUYA WIJAYA",8.42,"M","Group C","Shaolin Quan"
"363",363,"USA","Bryan GAO",8.74,"M","Group C","Shuang Dao (Double Broadsword)"
"364",364,"USA","Alex CAO",8.73,"M","Group C","Shuang Dao (Double Broadsword)"
"365",365,"EGY","Walid WAHIBY",8.7,"M","Group C","Shuang Dao (Double Broadsword)"
"366",366,"USA","Shaun CHEN",8.68,"M","Group C","Shuang Dao (Double Broadsword)"
"367",367,"USA","Ziyue HE",8.67,"M","Group C","Shuang Dao (Double Broadsword)"
"368",368,"USA","Ollie LIANG",8.64,"M","Group C","Shuang Dao (Double Broadsword)"
"369",369,"INA","Hans SANUYA WIJAYA",8.54,"M","Group C","Shuang Dao (Double Broadsword)"
"370",370,"USA","Kaden LUU",8.5,"M","Group C","Shuang Dao (Double Broadsword)"
"371",371,"USA","Bailing HOU",8.47,"M","Group C","Shuang Dao (Double Broadsword)"
"372",372,"USA","Leon SONG",8.44,"M","Group C","Shuang Dao (Double Broadsword)"
"373",373,"USA","Ivan WANG",8.4,"M","Group C","Shuang Dao (Double Broadsword)"
"374",374,"TPE","Yu Hsien CHANG",8.61,"M","Group C","Southern Styles Nanquan"
"375",375,"SRI","Pathum Poorna VANCUYLENBERG",8.58,"M","Group C","Southern Styles Nanquan"
"376",376,"TPE","Yu Yu YANG",8.55,"M","Group C","Southern Styles Nanquan"
"377",377,"GEO","Rauli MAMEDOVI",8.55,"M","Group C","Southern Styles Nanquan"
"378",378,"SRI","Dihen Vindiw TIKIRA HENNADIGE",8.54,"M","Group C","Southern Styles Nanquan"
"379",379,"GRE","Nikolaos NISIOTIS",8.52,"M","Group C","Southern Styles Nanquan"
"380",380,"SRI","Manuja Maneeka RATHNAYAKE",8.48,"M","Group C","Southern Styles Nanquan"
"381",381,"GEO","Giorgi GERMANOZASVILI",8.47,"M","Group C","Southern Styles Nanquan"
"382",382,"POL","Lukasz Mateusz MASLANKA",8.44,"M","Group C","Southern Styles Nanquan"
"383",383,"SRI","Dinuka Kawshan Jayasingha MAHADURAGE",8.43,"M","Group C","Southern Styles Nanquan"
"384",384,"PER","Shandarie LOLI MORALES",8.42,"M","Group C","Southern Styles Nanquan"
"385",385,"SVK","Michal REDHAMMER",8.42,"M","Group C","Southern Styles Nanquan"
"386",386,"USA","Zheyu CHEN",8.41,"M","Group C","Southern Styles Nanquan"
"387",387,"USA","Zane ORT",8.39,"M","Group C","Southern Styles Nanquan"
"388",388,"USA","Miles LUU",8.38,"M","Group C","Southern Styles Nanquan"
"389",389,"ROU","Victor HASIEGANU",8.37,"M","Group C","Southern Styles Nanquan"
"390",390,"CZE","Max PROCHAZKA",8.34,"M","Group C","Southern Styles Nanquan"
"391",391,"GRE","Alexandros TSOUKIAS",8.33,"M","Group C","Southern Styles Nanquan"
"392",392,"SRI","Asith Pasandul Paranavithana SAMARARARATHNA MUHANDIRAMGE",8.33,"M","Group C","Southern Styles Nanquan"
"393",393,"SRI","Kushan Prabod WICKCRAMA KURUPPU ARACHCHIGE",8.31,"M","Group C","Southern Styles Nanquan"
"394",394,"MAS","Wei Bin CHIN",8.31,"M","Group C","Southern Styles Nanquan"
"395",395,"USA","Allen ZHAO",8.29,"M","Group C","Southern Styles Nanquan"
"396",396,"CHI","Benjamin Ignacio HENRIQUEZ SERRANO",8.26,"M","Group C","Southern Styles Nanquan"
"397",397,"PER","Marco Aurelio CASTIGLIONE SANCHEZ",NA,"M","Group C","Southern Styles Nanquan"
"398",398,"PAK","Muhammad DAWOOD",NA,"M","Group C","Southern Styles Nanquan"
"399",399,"IND","Davnam Parth .",NA,"M","Group C","Southern Styles Nanquan"
"400",400,"EGY","Youssef KHALIL",8.98,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"401",401,"USA","Reid LINDSAY",8.97,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"402",402,"USA","Nathan CHOU",8.82,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"403",403,"MAS","Zi Hong WONG",8.81,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"404",404,"USA","Michail Panchev TZANKOV",8.77,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"405",405,"USA","Zhaokai HE",8.73,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"406",406,"SRI","Chenura Supipun Dissanayake DISSANAYAKE MUDIYANSELAGE",8.6,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"407",407,"IND","Omkar Rhushikesh MODAK",8.55,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"408",408,"USA","Ethan ZHU",8.39,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"409",409,"USA","Luke TIAN",8.34,"M","Group C","Taiji Jian (Including 42 Posture Taiji Jian)"
"410",410,"TUR","Necmettin Erbakan AKYUZ",8.68,"M","Group C","Tongbei Quan"
"411",411,"USA","Bryan ZENG",8.61,"M","Group C","Tongbei Quan"
"412",412,"USA","Hanson MA",8.55,"M","Group C","Tongbei Quan"
"413",413,"USA","Siddharth MANE",8.54,"M","Group C","Tongbei Quan"
"414",414,"USA","Mason Tsan-ming BRAYTON",8.48,"M","Group C","Tongbei Quan"
"415",415,"USA","Casey LEW",8.45,"M","Group C","Tongbei Quan"
"416",416,"USA","Jordan MEI",8.44,"M","Group C","Tongbei Quan"
"417",417,"USA","Eric YEH",8.42,"M","Group C","Tongbei Quan"
"418",418,"USA","Ashton YIM",8.7,"M","Group C","Traditional Flexible/Soft Weapon"
"419",419,"USA","Bryan ZENG",8.61,"M","Group C","Traditional Flexible/Soft Weapon"
"420",420,"USA","Matthew WANG",8.55,"M","Group C","Traditional Flexible/Soft Weapon"
"421",421,"USA","Ryan YEE",8.53,"M","Group C","Traditional Flexible/Soft Weapon"
"422",422,"USA","Casey LEW",8.51,"M","Group C","Traditional Flexible/Soft Weapon"
"423",423,"USA","Frank Wenhao WU",8.5,"M","Group C","Traditional Flexible/Soft Weapon"
"424",424,"USA","Jaden AGIN",8.47,"M","Group C","Traditional Flexible/Soft Weapon"
"425",425,"USA","Nathan LY",8.46,"M","Group C","Traditional Flexible/Soft Weapon"
"426",426,"ALG","Mahmoudi MOHAMED",8.39,"M","Group C","Traditional Flexible/Soft Weapon"
"427",427,"SRI","Dinuka Kawshan Jayasingha MAHADURAGE",8.34,"M","Group C","Traditional Flexible/Soft Weapon"
"428",428,"USA","Jack AQUI",NA,"M","Group C","Traditional Flexible/Soft Weapon"
"429",429,"FRA","Casey CALABER",8.61,"M","Group C","Xingyi Quan"
"430",430,"EGY","Walid WAHIBY",8.51,"M","Group C","Xingyi Quan"
"431",431,"USA","Kaden LUU",8.49,"M","Group C","Xingyi Quan"
"432",432,"USA","Gavin ZHAO",8.43,"M","Group C","Xingyi Quan"
"433",433,"USA","Austin SHAW",8.42,"M","Group C","Xingyi Quan"
"434",434,"USA","Jack ROTHENFLUCH",8.33,"M","Group C","Xingyi Quan"
"435",435,"GER","Alexander TOROPOV",8.31,"M","Group C","Xingyi Quan"
"436",436,"TUN","Jihed BELLOUMI",NA,"M","Group C","Xingyi Quan"
"437",437,"USA","Evan XU",8.99,"M","Group C","Zui Jian (Drunken Sword)"
"438",438,"USA","Alec ZHANG",8.9,"M","Group C","Zui Jian (Drunken Sword)"
"439",439,"POL","Maksymilian Grzegorz MURSZEWSKI",8.87,"M","Group C","Zui Jian (Drunken Sword)"
"440",440,"USA","Ryan GALLAGHER",8.84,"M","Group C","Zui Jian (Drunken Sword)"
"441",441,"USA","Jordan MEI",8.75,"M","Group C","Zui Jian (Drunken Sword)"
"442",442,"USA","Zane ORT",8.74,"M","Group C","Zui Jian (Drunken Sword)"
"443",443,"SGP","Neo Gao En NEO",8.73,"M","Group C","Zui Jian (Drunken Sword)"
"444",444,"UKR","Olexandr TYUTYUNNYK",9.11,"M","Group D","Cha Quan"
"445",445,"RUS","Ilias KHUSNUTDINOV",9.06,"M","Group D","Cha Quan"
"446",446,"RUS","Dmitrii MININ",9,"M","Group D","Cha Quan"
"447",447,"RUS","Denis KAZANTSEV",8.94,"M","Group D","Cha Quan"
"448",448,"UKR","Kyrylo MUKHIN",8.91,"M","Group D","Cha Quan"
"449",449,"ROU","Giuliano Isa ZAMOLO",8.91,"M","Group D","Cha Quan"
"450",450,"MAC","Ka Chon CHEONG",8.86,"M","Group D","Cha Quan"
"451",451,"USA","Sydney LY",8.86,"M","Group D","Cha Quan"
"452",452,"USA","Ian WONG",8.78,"M","Group D","Cha Quan"
"453",453,"SRI","Ravindu Chanuka GAMAGE",8.78,"M","Group D","Cha Quan"
"454",454,"SGP","Ernest Teo Zhi Kai TEO",8.76,"M","Group D","Cha Quan"
"455",455,"ARG","Gaston Mauricio BORRA",8.71,"M","Group D","Cha Quan"
"456",456,"ESP","Rafael GROLIER NOGUEIRA",8.71,"M","Group D","Cha Quan"
"457",457,"USA","Hao ZHANG",9.17,"M","Group D","Chen Style Taiji Jian"
"458",458,"HKG","Pak Long SAT",9.1,"M","Group D","Chen Style Taiji Jian"
"459",459,"ITA","Gianluigi BISONI",9,"M","Group D","Chen Style Taiji Jian"
"460",460,"BUL","Petar Simeonov DRAGOEV",8.92,"M","Group D","Chen Style Taiji Jian"
"461",461,"ITA","Andrea BALLIANA",8.88,"M","Group D","Chen Style Taiji Jian"
"462",462,"SVK","Lubomir FRANCE",8.87,"M","Group D","Chen Style Taiji Jian"
"463",463,"BUL","Ivo Georgiev GEORGIEV",8.75,"M","Group D","Chen Style Taiji Jian"
"464",464,"USA","Hao ZHANG",9.04,"M","Group D","Chen Style Taijiquan"
"465",465,"HKG","Jiahong ZHUANG",8.81,"M","Group D","Chen Style Taijiquan"
"466",466,"HUN","Mihaly FILOCI",8.8,"M","Group D","Chen Style Taijiquan"
"467",467,"USA","Jeffrie WANG",8.75,"M","Group D","Chen Style Taijiquan"
"468",468,"SVK","Michal SLAMKA",8.73,"M","Group D","Chen Style Taijiquan"
"469",469,"EGY","Omar OMAR",8.73,"M","Group D","Chen Style Taijiquan"
"470",470,"BUL","Ivo Georgiev GEORGIEV",8.7,"M","Group D","Chen Style Taijiquan"
"471",471,"EGY","Ahmed MAHMOUD",8.69,"M","Group D","Chen Style Taijiquan"
"472",472,"ITA","Gianluigi BISONI",8.69,"M","Group D","Chen Style Taijiquan"
"473",473,"ITA","Andrea BALLIANA",8.64,"M","Group D","Chen Style Taijiquan"
"474",474,"SVK","Lubomir FRANCE",8.63,"M","Group D","Chen Style Taijiquan"
"475",475,"BUL","Petar Simeonov DRAGOEV",8.61,"M","Group D","Chen Style Taijiquan"
"476",476,"USA","Wendell HOM",NA,"M","Group D","Chen Style Taijiquan"
"477",477,"BRA","Anthony DA SILVA CAPELAZZO",9.06,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"478",478,"CHI","Andres Guillermo TOBAR TRONCOSO",9,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"479",479,"BRA","Cleu DE ALMEIDA COSTA",8.93,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"480",480,"RUS","Igor MOROZ",8.93,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"481",481,"CHI","Francisco Andres MORALES BERRIOS",8.89,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"482",482,"CHI","Daniel Jesus RUIZ SAVARIA",8.88,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"483",483,"CHI","Hector Rodrigo MORENO ESPONIZA",8.85,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"484",484,"CHI","Alejandro Andres HORMAZABAL VILCHES",8.85,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"485",485,"MAS","Ka Hee LAM",8.84,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"486",486,"MAC","Man Hou LAM",8.79,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"487",487,"ESP","Rodrigo BONILLA TORIBIO",8.79,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"488",488,"CHI","Diego Hernan GAMEZ MORGADO",8.78,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"489",489,"CHI","Oscar Antonio GONZALEZ CONTI",8.78,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"490",490,"ARG","Federico Eduardo RODOGNO",8.78,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"491",491,"IND","Divyansh Manoj GUPTA",8.73,"M","Group D","Choy Lay Fut Kune (Cailifo Quan)"
"492",492,"RUS","Ilias KHUSNUTDINOV",9.2,"M","Group D","Dao (Broadsword)"
"493",493,"RUS","Radik ZARIPOV",9.15,"M","Group D","Dao (Broadsword)"
"494",494,"RUS","Denis KAZANTSEV",9.1,"M","Group D","Dao (Broadsword)"
"495",495,"ITA","Alessandro PIRAS",9.09,"M","Group D","Dao (Broadsword)"
"496",496,"RUS","Nikita TITOV",9.05,"M","Group D","Dao (Broadsword)"
"497",497,"USA","Ean BENNETT",9,"M","Group D","Dao (Broadsword)"
"498",498,"TPE","Chang Min LIU",8.99,"M","Group D","Dao (Broadsword)"
"499",499,"CHI","Rafael Ignacio NUNEZ ALARCON",8.98,"M","Group D","Dao (Broadsword)"
"500",500,"SGP","Yeap Zheng Hong YEAP",8.98,"M","Group D","Dao (Broadsword)"
"501",501,"GER","Kai Frank JANSEN",8.97,"M","Group D","Dao (Broadsword)"
"502",502,"UKR","Kyrylo MUKHIN",8.91,"M","Group D","Dao (Broadsword)"
"503",503,"USA","Alan TENG",8.88,"M","Group D","Dao (Broadsword)"
"504",504,"TUN","Mohamed DAADAA",8.87,"M","Group D","Dao (Broadsword)"
"505",505,"BRA","Ian Godel MESQUITA SCHRADER",8.87,"M","Group D","Dao (Broadsword)"
"506",506,"BRA","Giovane Ricardo CINTRA",8.86,"M","Group D","Dao (Broadsword)"
"507",507,"CHI","Hector Rodrigo MORENO ESPONIZA",8.86,"M","Group D","Dao (Broadsword)"
"508",508,"MAC","Ka Chon CHEONG",8.81,"M","Group D","Dao (Broadsword)"
"509",509,"BRA","Amyr FURLAN DA CUNHA",8.81,"M","Group D","Dao (Broadsword)"
"510",510,"GRE","Georgios POULIAS",8.8,"M","Group D","Dao (Broadsword)"
"511",511,"SGP","Ng Shao Yuan Alphonsius NG",8.8,"M","Group D","Dao (Broadsword)"
"512",512,"TJK","Mirzodalerkhon KHURSHEDZODA",8.79,"M","Group D","Dao (Broadsword)"
"513",513,"TJK","Muhammadkhoja AHMADOV",8.75,"M","Group D","Dao (Broadsword)"
"514",514,"SRI","Shan Nethmina KASTHURI ARACHCHIGE",8.51,"M","Group D","Dao (Broadsword)"
"515",515,"PAK","Amanat ALI",NA,"M","Group D","Dao (Broadsword)"
"516",516,"IND","Tarun NAMDEO",NA,"M","Group D","Dao (Broadsword)"
"517",517,"BUL","Dimitar Mladenov MIHAYLOV",NA,"M","Group D","Dao (Broadsword)"
"518",518,"RUS","Denis ZAGIBALOV",9.08,"M","Group D","Fanzi Quan"
"519",519,"GEO","David GULISASHVILI",9.01,"M","Group D","Fanzi Quan"
"520",520,"USA","Junhong CHON",8.95,"M","Group D","Fanzi Quan"
"521",521,"USA","Michael MOORE",8.86,"M","Group D","Fanzi Quan"
"522",522,"TJK","Fotekh TABAROV",NA,"M","Group D","Fanzi Quan"
"523",523,"RUS","Nikita TITOV",NA,"M","Group D","Fanzi Quan"
"524",524,"USA","Sen GAO",9.16,"M","Group D","Guandao (Kwan Dao)"
"525",525,"TPE","Ting Han LIN",9.04,"M","Group D","Guandao (Kwan Dao)"
"526",526,"GEO","David GULISASHVILI",8.96,"M","Group D","Guandao (Kwan Dao)"
"527",527,"SGP","Ernest Teo Zhi Kai TEO",8.82,"M","Group D","Guandao (Kwan Dao)"
"528",528,"BRA","Alberto RODRIGUES JUNIOR",8.77,"M","Group D","Guandao (Kwan Dao)"
"529",529,"SGP","Ng Shao Chun Aloysius NG",8.76,"M","Group D","Guandao (Kwan Dao)"
"530",530,"EGY","Nasr Ibrahim Tawfik Mosaad SALEM",8.74,"M","Group D","Guandao (Kwan Dao)"
"531",531,"ALG","Bouhamidane AHMED",NA,"M","Group D","Guandao (Kwan Dao)"
"532",532,"RUS","Ilya LITVINCHUK",9.19,"M","Group D","Gun (Cudgel/Staff)"
"533",533,"ESP","Francisco GARCIA MAZUECOS",9.1,"M","Group D","Gun (Cudgel/Staff)"
"534",534,"BRA","Anthony DA SILVA CAPELAZZO",9.09,"M","Group D","Gun (Cudgel/Staff)"
"535",535,"RUS","Oleg KHANDESHIN",9.06,"M","Group D","Gun (Cudgel/Staff)"
"536",536,"KAZ","Alexey BABENKO",9.01,"M","Group D","Gun (Cudgel/Staff)"
"537",537,"LTU","Aram MURADYAN",8.95,"M","Group D","Gun (Cudgel/Staff)"
"538",538,"BRA","Henrique NUNES SANTANA",8.9,"M","Group D","Gun (Cudgel/Staff)"
"539",539,"CHI","Francisco Andres MORALES BERRIOS",8.83,"M","Group D","Gun (Cudgel/Staff)"
"540",540,"TUN","Yassine HADDAD",8.81,"M","Group D","Gun (Cudgel/Staff)"
"541",541,"SRI","Ravindu Chanuka GAMAGE",8.81,"M","Group D","Gun (Cudgel/Staff)"
"542",542,"UKR","Artem HASHCHUK",8.8,"M","Group D","Gun (Cudgel/Staff)"
"543",543,"FRA","Nicolas GU",8.78,"M","Group D","Gun (Cudgel/Staff)"
"544",544,"ITA","Claudio DI BENEDETTO",8.78,"M","Group D","Gun (Cudgel/Staff)"
"545",545,"USA","Andrew TAN",8.7,"M","Group D","Gun (Cudgel/Staff)"
"546",546,"FRA","Raphael MAURICE",8.55,"M","Group D","Gun (Cudgel/Staff)"
"547",547,"ITA","Davide FIRINU",NA,"M","Group D","Gun (Cudgel/Staff)"
"548",548,"CHN","Jia Chou CHEN",9.19,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"549",549,"MAC","Chan Pong NG",9,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"550",550,"MAC","Chon Wong MA",8.94,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"551",551,"CZE","Karel KRAL",8.87,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"552",552,"CZE","Kamil KANINSKY",8.86,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"553",553,"ALG","Belghazi ZINE EL ABIDINE",8.84,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"554",554,"SGP","Ng Shao Chun Aloysius NG",8.83,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"555",555,"CZE","Jaroslav KEKRT",8.82,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"556",556,"ESP","Jose Luis MORALES GARCIA",8.82,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"557",557,"CZE","Jakub MIRATSKY",8.81,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"558",558,"AUS","Kevin KOU",8.78,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"559",559,"AUS","Sean CHEN",8.77,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"560",560,"SVK","Peter KYSEL",8.75,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"561",561,"PER","Ernesto Mauricio ORTIZ GOMEZ",NA,"M","Group D","Hung Gar Kune (Hongjia Quan)"
"562",562,"UKR","Daniil FESHCENKO",9.01,"M","Group D","Imitation Eagle Style"
"563",563,"SGP","Yeap Zheng Hong YEAP",8.91,"M","Group D","Imitation Eagle Style"
"564",564,"KAZ","Arstan URAZOV",8.9,"M","Group D","Imitation Eagle Style"
"565",565,"USA","Brandon LIU",8.84,"M","Group D","Imitation Eagle Style"
"566",566,"USA","Krist Bryan CALDWELL",8.75,"M","Group D","Imitation Eagle Style"
"567",567,"MAS","Qing Hao MAH",8.75,"M","Group D","Imitation Eagle Style"
"568",568,"HKG","Yuanpeng ZHU",9.25,"M","Group D","Imitation Other Styles"
"569",569,"RUS","Aleksandr EMELIANENKO",9.07,"M","Group D","Imitation Other Styles"
"570",570,"RUS","Dmitrii TIUNOV",9.06,"M","Group D","Imitation Other Styles"
"571",571,"ESP","Francisco GARCIA MAZUECOS",9,"M","Group D","Imitation Other Styles"
"572",572,"MAC","Ka Seng LAM",9,"M","Group D","Imitation Other Styles"
"573",573,"USA","Ean BENNETT",8.96,"M","Group D","Imitation Other Styles"
"574",574,"PER","Robinson Angelo CACHICATARI MENDOZA",8.92,"M","Group D","Imitation Other Styles"
"575",575,"ESP","Javier TORRES GISBERT",8.91,"M","Group D","Imitation Other Styles"
"576",576,"ITA","Claudio DI BENEDETTO",8.9,"M","Group D","Imitation Other Styles"
"577",577,"TPE","Chang Min LIU",8.89,"M","Group D","Imitation Other Styles"
"578",578,"KAZ","Gali DAULETZHAN",8.89,"M","Group D","Imitation Other Styles"
"579",579,"MAS","Yew Meng ONG",8.86,"M","Group D","Imitation Other Styles"
"580",580,"BRA","Marcelo Vinicius GIRALDI DE OLIVEIRA",8.82,"M","Group D","Imitation Other Styles"
"581",581,"ALG","Smaimi ABDELAALI",NA,"M","Group D","Imitation Other Styles"
"582",582,"NZL","Ethan Rafael Agbayani DE GUZMAN",NA,"M","Group D","Imitation Other Styles"
"583",583,"CHN","Ju Tian ZHENG",9.28,"M","Group D","Jian (Straight Sword)"
"584",584,"UKR","Olexandr TYUTYUNNYK",9.17,"M","Group D","Jian (Straight Sword)"
"585",585,"RUS","Dmitrii MININ",9.09,"M","Group D","Jian (Straight Sword)"
"586",586,"SVK","Michal SLAMKA",9,"M","Group D","Jian (Straight Sword)"
"587",587,"ARG","Nelso Cesar CARELLA",8.99,"M","Group D","Jian (Straight Sword)"
"588",588,"SGP","Ho Kai Leong HO",8.93,"M","Group D","Jian (Straight Sword)"
"589",589,"ITA","Ivo ZEDDA",8.93,"M","Group D","Jian (Straight Sword)"
"590",590,"USA","Sydney LY",8.92,"M","Group D","Jian (Straight Sword)"
"591",591,"KAZ","Arstan URAZOV",8.9,"M","Group D","Jian (Straight Sword)"
"592",592,"IND","Divyansh Manoj GUPTA",8.82,"M","Group D","Jian (Straight Sword)"
"593",593,"USA","Cody FONG",8.78,"M","Group D","Jian (Straight Sword)"
"594",594,"USA","Matthew CHAN",8.75,"M","Group D","Jian (Straight Sword)"
"595",595,"ROU","Marius-andrei IOANA",8.73,"M","Group D","Jian (Straight Sword)"
"596",596,"BRA","Eduardo DE SOUZA LIMA",8.7,"M","Group D","Jian (Straight Sword)"
"597",597,"ROU","David Stefan PETA",8.61,"M","Group D","Jian (Straight Sword)"
"598",598,"RUS","Denis ZAGIBALOV",9.17,"M","Group D","Jiu Jie Bian (Nine Section Whip Chain)"
"599",599,"PER","Robinson Angelo CACHICATARI MENDOZA",9,"M","Group D","Jiu Jie Bian (Nine Section Whip Chain)"
"600",600,"NZL","Ethan Rafael Agbayani DE GUZMAN",8.9,"M","Group D","Jiu Jie Bian (Nine Section Whip Chain)"
"601",601,"ESP","Jose Luis MORALES GARCIA",8.86,"M","Group D","Jiu Jie Bian (Nine Section Whip Chain)"
"602",602,"ESP","Javier TORRES GISBERT",8.77,"M","Group D","Jiu Jie Bian (Nine Section Whip Chain)"
"603",603,"ITA","Francesco Daniel COSENTINO",8.67,"M","Group D","Jiu Jie Bian (Nine Section Whip Chain)"
