Team,Athlete,Score,Remark,Form
MAC,LEI IAM CHEONG,8.93,2nd Category Prize,International Men's Group E Traditional Yang Style Taijiquan
AUS,Edward Nugent,8.91,2nd Category Prize,International Men's Group E Traditional Yang Style Taijiquan
NZL,David Wong,8.91,2nd Category Prize,International Men's Group E Traditional Yang Style Taijiquan
USA,Hoa NGUYEN,8.87,3rd Category Prize,International Men's Group E Traditional Yang Style Taijiquan
CAN,Wu Lawrence Man Wai,8.79,,International Men's Group E Traditional Yang Style Taijiquan
USA,Francis ROSICA,8.73,,International Men's Group E Traditional Yang Style Taijiquan
JPN,JUNKO HIROSE,9.14,1st Category Prize,International Women's Group D Traditional Wu Style Taijiquan
MAC,VONG MEI FONG,9.04,2nd Category Prize,International Women's Group D Traditional Wu Style Taijiquan
HKG,LO Kam Fung,8.85,3rd Category Prize,International Women's Group D Traditional Wu Style Taijiquan
HKG,FU Mi Wah,8.81,3rd Category Prize,International Women's Group D Traditional Wu Style Taijiquan
HKG,WONG Chor Ying Christina,8.73,,International Women's Group D Traditional Wu Style Taijiquan
HKG,CHOW Chi Lan,8.7,,International Women's Group D Traditional Wu Style Taijiquan
JPN,JUNKO IRISAWA,9.06,1st Category Prize,International Women's Group E Traditional Wu Style Taijiquan
CAN,Wu Louise,8.89,2nd Category Prize,International Women's Group E Traditional Wu Style Taijiquan
HKG,LAM Ching Wah,8.87,3rd Category Prize,International Women's Group E Traditional Wu Style Taijiquan
HKG,HO Kin Ping,8.85,3rd Category Prize,International Women's Group E Traditional Wu Style Taijiquan
HKG,LAM Ching Wan,8.66,,International Women's Group E Traditional Wu Style Taijiquan
HKG,WONG Lai Fong,8.56,,International Women's Group E Traditional Wu Style Taijiquan
MAC,CHIANG CHI KEI,8.94,1st Category Prize,International Women's Group B Other Traditional Taijiquan
USA,Serena LI,8.93,2nd Category Prize,International Women's Group B Other Traditional Taijiquan
USA,Keyi SHI,8.92,2nd Category Prize,International Women's Group B Other Traditional Taijiquan
NED,Abigail Man,8.9,3rd Category Prize,International Women's Group B Other Traditional Taijiquan
USA,Catherine LUO,8.84,3rd Category Prize,International Women's Group B Other Traditional Taijiquan
CAN,Claire Jie-Ching Lin,8.79,3rd Category Prize,International Women's Group B Other Traditional Taijiquan
GBR,Lydia Lai Lydiate,8.79,3rd Category Prize,International Women's Group B Other Traditional Taijiquan
KAZ,Orlyak Anna,8.76,,International Women's Group B Other Traditional Taijiquan
ITA,Martina MUGNAI,8.71,,International Women's Group B Other Traditional Taijiquan
USA,Ashley LIN,8.57,,International Women's Group B Other Traditional Taijiquan
USA,Alexander YU,9.04,1st Category Prize,International Men's Group B Other Traditional Taijiquan
EGY,Ahmed Abdelrahman Ali Khalil,8.98,2nd Category Prize,International Men's Group B Other Traditional Taijiquan
EGY,Youssef Abdelrahman Ali Khalil,8.96,2nd Category Prize,International Men's Group B Other Traditional Taijiquan
IND,ATHARV RHUSHIKESH MODAK,8.81,3rd Category Prize,International Men's Group B Other Traditional Taijiquan
KUW,Abdelrahman Ibrahim REFAAT,8.81,3rd Category Prize,International Men's Group B Other Traditional Taijiquan
GBR,Ping Hao Ng,8.75,3rd Category Prize,International Men's Group B Other Traditional Taijiquan
USA,Samuel LI,8.69,,International Men's Group B Other Traditional Taijiquan
USA,William NG,8.63,,International Men's Group B Other Traditional Taijiquan
SRI,M.CHATHUSHAN PERERA,8.6,,International Men's Group B Other Traditional Taijiquan
SRI,Y.K.YOHAN CHAMIKA LOURANCE,8.44,,International Men's Group B Other Traditional Taijiquan
HKG,MOK Uen Ying Juanita,9.09,1st Category Prize,International Women's Group C Other Traditional Taijiquan
JPN,MEGUMI YOSHIKAWA,9.04,2nd Category Prize,International Women's Group C Other Traditional Taijiquan
COL,CHRISTINA GARCES VALENCIA,8.81,3rd Category Prize,International Women's Group C Other Traditional Taijiquan
USA,Jane HARTONO,8.78,,International Women's Group C Other Traditional Taijiquan
HKG,SAT Pak Long,9.01,1st Category Prize,International Men's Group C Other Traditional Taijiquan
IRI,seyed hamed katouzi,8.98,2nd Category Prize,International Men's Group C Other Traditional Taijiquan
ESP,DAVID MARTIN ALCALDE,8.98,2nd Category Prize,International Men's Group C Other Traditional Taijiquan
RUS,Andrey ASKAROV,8.95,3rd Category Prize,International Men's Group C Other Traditional Taijiquan
SRI,J.M.HIRUSHA MADUSHANKA,8.87,3rd Category Prize,International Men's Group C Other Traditional Taijiquan
RSA,Thomas WIID,8.86,3rd Category Prize,International Men's Group C Other Traditional Taijiquan
GRE,TSOLAKIDIS DIMITRIOS,8.86,3rd Category Prize,International Men's Group C Other Traditional Taijiquan
YEM,YOUSEF ALI AL-KHUDHARI,8.86,3rd Category Prize,International Men's Group C Other Traditional Taijiquan
UKR,Maksym Kolotilkin,8.82,,International Men's Group C Other Traditional Taijiquan
SRI,M.M.R.MALINDA JAYASINGHE,8.8,,International Men's Group C Other Traditional Taijiquan
USA,Vicki ARMES,9.03,1st Category Prize,International Women's Group D Other Traditional Taijiquan
HKG,NG Mei Kuen,8.98,1st Category Prize,International Women's Group D Other Traditional Taijiquan
MAS,LEE BOEY KOH,8.94,1st Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,YUKIKO YAMAJI,8.91,2nd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,MIYUKI ITO,8.9,2nd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,YOKO UKAI,8.89,2nd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,NORIKO KAMATA,8.87,2nd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,YOSHIE SATO,8.86,2nd Category Prize,International Women's Group D Other Traditional Taijiquan
HKG,LAI Tsz Man,8.85,2nd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,MINA MORIOKA,8.84,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,JUNKO KIDO,8.81,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,MIDORI TAKANO,8.81,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
BRU,Liew Shuk Shiar,8.8,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
RUS,Irina EVSTIGNEEVA,8.8,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
HKG,TANG Yuk Ling,8.78,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,NOBUKO YAMADA,8.76,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
NED,Sabine Bock,8.75,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
JPN,MIKIKO UEDA,8.75,3rd Category Prize,International Women's Group D Other Traditional Taijiquan
USA,Sinyi JONES,8.74,,International Women's Group D Other Traditional Taijiquan
JPN,HIROMI TAKATA,8.74,,International Women's Group D Other Traditional Taijiquan
HKG,YU Fung Mei Patricia,8.73,,International Women's Group D Other Traditional Taijiquan
FRA,CIABURRI-VICENTE Consiglia,8.72,,International Women's Group D Other Traditional Taijiquan
JPN,SAORI SARAI,8.7,,International Women's Group D Other Traditional Taijiquan
JPN,AKIKO KATO,8.7,,International Women's Group D Other Traditional Taijiquan
RSA,Rutendo NGARA,8.68,,International Women's Group D Other Traditional Taijiquan
JPN,SAKIKO KOMURO,8.68,,International Women's Group D Other Traditional Taijiquan
JPN,EMIKO SAKUMA,8.65,,International Women's Group D Other Traditional Taijiquan
RUS,Sergey SUKHOVEY,9.14,1st Category Prize,International Men's Group D Other Traditional Taijiquan
LAT,Romans Vlasenko,9.01,1st Category Prize,International Men's Group D Other Traditional Taijiquan
JPN,KIICHI KOBAYASHI,8.96,2nd Category Prize,International Men's Group D Other Traditional Taijiquan
ESP,JUAN JOSE ESTRELLA SANCHEZ,8.96,2nd Category Prize,International Men's Group D Other Traditional Taijiquan
USA,Wen-lin FAN,8.92,2nd Category Prize,International Men's Group D Other Traditional Taijiquan
AUS,Yunkuo Wang,8.92,2nd Category Prize,International Men's Group D Other Traditional Taijiquan
SVK,Marek SKOLUDA,8.9,3rd Category Prize,International Men's Group D Other Traditional Taijiquan
SRI,S.D.L. KARUNARATHNA,8.86,3rd Category Prize,International Men's Group D Other Traditional Taijiquan
USA,Bo LI,8.84,3rd Category Prize,International Men's Group D Other Traditional Taijiquan
RUS,Natig VELIEV,8.84,3rd Category Prize,International Men's Group D Other Traditional Taijiquan
HKG,NG Ho On,8.83,,International Men's Group D Other Traditional Taijiquan
AUS,Pablo Barreto,8.82,,International Men's Group D Other Traditional Taijiquan
COL,JOSE MIGUEL GOMEZ RANGES,8.81,,International Men's Group D Other Traditional Taijiquan
IND,SOPAN SHANKAR KATKE,8.76,,International Men's Group D Other Traditional Taijiquan
COL,EDGAR FERNANDEZ OBREGON,8.73,,International Men's Group D Other Traditional Taijiquan
MAC,ZHAO NING,9.08,1st Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,MIDORI SAKAI,9.04,1st Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,SHIZUE KATO,9,1st Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,MIEKO KITO,8.95,1st Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,YASUKO HIMENO,8.91,1st Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,JUNKO SHISHIDO,8.9,2nd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,MASAKO SHIMIZU,8.86,2nd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,CHIEKO YABE,8.85,2nd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,EMI SAITO,8.85,2nd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,TOMIKO SAWAOKA,8.83,2nd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,KIYOKO SAGA,8.83,2nd Category Prize,International Women's Group E Other Traditional Taijiquan
HKG,LEE Chun Chun,8.83,2nd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,HIROKO SAKAI,8.82,3rd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,EMIKO YAMADA,8.81,3rd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,TOMOKO TAKANO,8.81,3rd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,JUNKO UEDA,8.79,3rd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,FUMIKO TANABE,8.78,3rd Category Prize,International Women's Group E Other Traditional Taijiquan
JPN,FUMIE RYUZAKI,8.76,,International Women's Group E Other Traditional Taijiquan
JPN,FUMIKO SHIMIZU,8.76,,International Women's Group E Other Traditional Taijiquan
JPN,SETSUKO TOBITA,8.75,,International Women's Group E Other Traditional Taijiquan
RSA,Anneke LUYT,8.73,,International Women's Group E Other Traditional Taijiquan
JPN,HIDEKO NAKAJIMA,8.67,,International Women's Group E Other Traditional Taijiquan
JPN,KUMIKO OHNISHI,8.66,,International Women's Group E Other Traditional Taijiquan
CAN,Zhu Ming,9.06,1st Category Prize,International Men's Group E Traditional Taijiquan
CAN,Ng Pang Yee Allen,8.96,1st Category Prize,International Men's Group E Traditional Taijiquan
AUS,Stephen Haochuan Lin,8.92,1st Category Prize,International Men's Group E Traditional Taijiquan
MAC,MA WA CHIO,8.91,1st Category Prize,International Men's Group E Traditional Taijiquan
MAS,SAY PENG YEO,8.85,2nd Category Prize,International Men's Group E Traditional Taijiquan
MAC,KOU KAM HONG,8.83,2nd Category Prize,International Men's Group E Traditional Taijiquan
JPN,MASAHARU ISHIKAWA,8.83,2nd Category Prize,International Men's Group E Traditional Taijiquan
JPN,AKIRA YONEMOTO,8.83,2nd Category Prize,International Men's Group E Traditional Taijiquan
AUS,Brian Corless,8.82,3rd Category Prize,International Men's Group E Traditional Taijiquan
HKG,NG Chor Wai,8.8,3rd Category Prize,International Men's Group E Traditional Taijiquan
USA,Richard JONES,8.79,3rd Category Prize,International Men's Group E Traditional Taijiquan
JPN,MASAKI KAWASAKI,8.78,3rd Category Prize,International Men's Group E Traditional Taijiquan
JPN,KENZO OKAMOTO,8.78,3rd Category Prize,International Men's Group E Traditional Taijiquan
ARG,Juan Jose Naranjo,8.78,3rd Category Prize,International Men's Group E Traditional Taijiquan
JPN,ANRI TAKEDA,8.77,,International Men's Group E Traditional Taijiquan
HKG,YAU Kar Wai,8.77,,International Men's Group E Traditional Taijiquan
HKG,YEUNG Yuk Shing,8.76,,International Men's Group E Traditional Taijiquan
HKG,CHEUNG Chun Wah,8.74,,International Men's Group E Traditional Taijiquan
JPN,ATSUSHI SUGIURA,8.74,,International Men's Group E Traditional Taijiquan
HKG,TANG Chi Man,8.7,,International Men's Group E Traditional Taijiquan
RUS,Alina PODOLSKAYA,9.01,1st Category Prize,International Women's Group C Cha Quan
TUR,Elif AKYUZ,8.93,2nd Category Prize,International Women's Group C Cha Quan
RUS,Anastasia ANTIPINA,8.91,3rd Category Prize,International Women's Group C Cha Quan
USA,Janel TJIONG,8.8,3rd Category Prize,International Women's Group C Cha Quan
USA,Courtney RANDOLPH,8.76,,International Women's Group C Cha Quan
USA,Melissa YAHYA,8.66,,International Women's Group C Cha Quan
RUS,Iliyas KHUSNUTDINOV,9.06,1st Category Prize,International Men's Group C Cha Quan
RUS,Denis KAZANTSEV,9,2nd Category Prize,International Men's Group C Cha Quan
RUS,Dmitry MININ,8.95,2nd Category Prize,International Men's Group C Cha Quan
USA,Max WOOD-LEE,8.92,3rd Category Prize,International Men's Group C Cha Quan
ROU,Zamolo Giuliano Isa,8.9,3rd Category Prize,International Men's Group C Cha Quan
USA,Krist CALDWELL,8.82,,International Men's Group C Cha Quan
SRI,H.M.P.MANURANGA,8.79,,International Men's Group C Cha Quan
SRI,N.K.C.S. RATHNASIRI,8.74,,International Men's Group C Cha Quan
CHN,LI DAN,8.78,1st Category Prize,International Women's Group C Wudang Quan
KGZ,Eles KOKUMBEK KYZY,8.68,2nd Category Prize,International Women's Group C Wudang Quan
KGZ,Gulfiia DZHOLCHUBEKOVA,8.64,3rd Category Prize,International Women's Group C Wudang Quan
KGZ,Aisulu ASANKULOVA,8.63,3rd Category Prize,International Women's Group C Wudang Quan
KGZ,Liubov SERIAKOVA,8.6,,International Women's Group C Wudang Quan
ITA,Alessandro PIRAS,8.95,1st Category Prize,International Men's Group C Wudang Quan
MEX,Leonel PEDRAZA,8.8,2nd Category Prize,International Men's Group C Wudang Quan
ITA,Ivo ZEDDA,8.77,3rd Category Prize,International Men's Group C Wudang Quan
NOR,Kim Gibson,8.75,3rd Category Prize,International Men's Group C Wudang Quan
ESP,MARIO SIMON GARCIA,8.67,,International Men's Group C Wudang Quan
USA,Kaylie SHOOK,8.45,1st Category Prize,International Women's Group Other Traditional Quan
USA,Katherine YOUNG,8.44,2nd Category Prize,International Women's Group Other Traditional Quan
TUR,Ayse Sude AKYUZ,8.41,2nd Category Prize,International Women's Group Other Traditional Quan
UKR,Khymchenko Kamila,8.4,2nd Category Prize,International Women's Group Other Traditional Quan
USA,Rachel YANG,8.39,3rd Category Prize,International Women's Group Other Traditional Quan
USA,Chloe SHIUE,8.38,3rd Category Prize,International Women's Group Other Traditional Quan
USA,Mariella BRAYTON,8.36,3rd Category Prize,International Women's Group Other Traditional Quan
INA,KEISYA AZAHRA,8.34,3rd Category Prize,International Women's Group Other Traditional Quan
USA,Liana SEMET,8.33,,International Women's Group Other Traditional Quan
USA,Elise YEUNG,8.29,,International Women's Group Other Traditional Quan
ROU,Moise Maria Alexandra,8.27,,International Women's Group Other Traditional Quan
IND,SIDDHI SANJAY SHINDE,8.25,,International Women's Group Other Traditional Quan
USA,Fiona BARNHART,8.2,,International Women's Group Other Traditional Quan
USA,Lucas DONG,8.45,1st Category Prize,International Men's Group A Traditional Quan
USA,Casey LEW,8.38,1st Category Prize,International Men's Group A Traditional Quan
USA,Kia NAMAKI,8.36,2nd Category Prize,International Men's Group A Traditional Quan
MAS,KAI WEN YANG,8.35,2nd Category Prize,International Men's Group A Traditional Quan
USA,Banyan JULLIAN,8.35,2nd Category Prize,International Men's Group A Traditional Quan
USA,Brad WU,8.32,3rd Category Prize,International Men's Group A Traditional Quan
USA,Anthony GUAN,8.3,3rd Category Prize,International Men's Group A Traditional Quan
USA,Donghe ZHANG,8.3,3rd Category Prize,International Men's Group A Traditional Quan
BRU,Abel Lim Wee Yuan,8.27,3rd Category Prize,International Men's Group A Traditional Quan
USA,Kael NGUYEN,8.26,3rd Category Prize,International Men's Group A Traditional Quan
LAT,Maksim Kleymenov,8.25,,International Men's Group A Traditional Quan
RSA,Jamie Marshall WOOLMER,8.25,,International Men's Group A Traditional Quan
USA,Michael LU,8.22,,International Men's Group A Traditional Quan
FRA,RAESE Rayan,8.2,,International Men's Group A Traditional Quan
RSA,Ntsakiso CHAUKE,8.15,,International Men's Group A Traditional Quan
HKG,YEUNG Michelle,8.79,1st Category Prize,International Women's Group B Other Types of Traditional Quan
USA,Ava YU,8.76,1st Category Prize,International Women's Group B Other Types of Traditional Quan
RUS,Apolinariya KOZHEVNIKOVA,8.75,2nd Category Prize,International Women's Group B Other Types of Traditional Quan
TUR,Feyza CAPOGLU,8.75,2nd Category Prize,International Women's Group B Other Types of Traditional Quan
USA,Angela WANG,8.69,2nd Category Prize,International Women's Group B Other Types of Traditional Quan
TPE,WU yueh ling,8.67,3rd Category Prize,International Women's Group B Other Types of Traditional Quan
USA,Kylie JONES,8.56,3rd Category Prize,International Women's Group B Other Types of Traditional Quan
USA,Katherine HO,8.51,3rd Category Prize,International Women's Group B Other Types of Traditional Quan
USA,Tori MATULA,8.51,3rd Category Prize,International Women's Group B Other Types of Traditional Quan
LAT,Polina Malahova,8.5,3rd Category Prize,International Women's Group B Other Types of Traditional Quan
EST,Anete Korve,8.5,3rd Category Prize,International Women's Group B Other Types of Traditional Quan
MAS,SHAFEI LEE,8.46,,International Women's Group B Other Types of Traditional Quan
BRU,Li ZiYan,8.43,,International Women's Group B Other Types of Traditional Quan
USA,Mataya WOODARD,8.4,,International Women's Group B Other Types of Traditional Quan
BRU,Lim Yee Sean,8.38,,International Women's Group B Other Types of Traditional Quan
SRI,A.V.AKESHA DE SILVA,8.26,,International Women's Group B Other Types of Traditional Quan
TUR,Necmettin erbakan AKYUZ,8.76,1st Category Prize,International Men's Group B Other Traditional Quan
RUS,Nikita TITOV,8.7,1st Category Prize,International Men's Group B Other Traditional Quan
TPE,LIU chang min,8.68,2nd Category Prize,International Men's Group B Other Traditional Quan
USA,Brandon CHENG,8.64,2nd Category Prize,International Men's Group B Other Traditional Quan
USA,Seth ROSEN,8.62,2nd Category Prize,International Men's Group B Other Traditional Quan
RUS,Arseniii ULIANCHIK,8.61,2nd Category Prize,International Men's Group B Other Traditional Quan
USA,William TEPPENPAW,8.6,3rd Category Prize,International Men's Group B Other Traditional Quan
BRA,Gabriel Augusto de Oliveira FERREIRA,8.6,3rd Category Prize,International Men's Group B Other Traditional Quan
USA,Alan TONG,8.57,3rd Category Prize,International Men's Group B Other Traditional Quan
USA,Minh THAI,8.57,3rd Category Prize,International Men's Group B Other Traditional Quan
USA,Srinivas BALAGOPAL,8.55,3rd Category Prize,International Men's Group B Other Traditional Quan
JPN,AYUMU SHINAGAWA,8.51,3rd Category Prize,International Men's Group B Other Traditional Quan
USA,Ethan DANCHO,8.51,3rd Category Prize,International Men's Group B Other Traditional Quan
USA,Matthew CHAN,8.51,3rd Category Prize,International Men's Group B Other Traditional Quan
TPE,CHANG yu hsien,8.5,,International Men's Group B Other Traditional Quan
USA,Ryan WONG,8.5,,International Men's Group B Other Traditional Quan
BRU,Ericsson Bong Cheng Loong,8.43,,International Men's Group B Other Traditional Quan
MEX,Carlos VERA,8.4,,International Men's Group B Other Traditional Quan
BRU,Aaron Phung JinYi,8.38,,International Men's Group B Other Traditional Quan
SRI,H.G.T.S SAMARAKOON,8.28,,International Men's Group B Other Traditional Quan
FRA,RAESE Shayan,8.25,,International Men's Group B Other Traditional Quan
RSA,Cameron Lee KHAN,8.2,,International Men's Group B Other Traditional Quan
CHN,WANG DEMING,9.19,1st Category Prize,International Men's Group E Other Traditional Quan
USA,Freddie HARPER,8.96,1st Category Prize,International Men's Group E Other Traditional Quan
USA,Wesley BISHOP,8.91,2nd Category Prize,International Men's Group E Other Traditional Quan
USA,Ebert KAN,8.9,2nd Category Prize,International Men's Group E Other Traditional Quan
KGZ,Evgenii LOPATKIN,8.86,3rd Category Prize,International Men's Group E Other Traditional Quan
MAS,CHENG LEONG CHEONG,8.84,3rd Category Prize,International Men's Group E Other Traditional Quan
BOL,Ernesto Rodriguez Sanchez,8.83,3rd Category Prize,International Men's Group E Other Traditional Quan
MAS,WENG SENG NG,8.81,,International Men's Group E Other Traditional Quan
MAS,SENG BOX SAW,8.77,,International Men's Group E Other Traditional Quan
MAS,EWE HOCK TEH,8.75,,International Men's Group E Other Traditional Quan
RUS,Vladimir INSANOV,8.72,,International Men's Group E Other Traditional Quan
CZE,Karel Korenc,8.5,1st Category Prize,International Men's Group A Shaolin Quan
TPE,CHEN yao tso,8.47,2nd Category Prize,International Men's Group A Shaolin Quan
BRA,Dylan WENTAO TER,8.44,2nd Category Prize,International Men's Group A Shaolin Quan
BRA,Lucas Anten HONG,8.43,3rd Category Prize,International Men's Group A Shaolin Quan
JPN,YUZUKI TAKAHASHI,8.42,3rd Category Prize,International Men's Group A Shaolin Quan
KAZ,Orazaly Ramazan,8.33,,International Men's Group A Shaolin Quan
BOL,Huaskar Huanacuni Pinedo,8.01,,International Men's Group A Shaolin Quan
FRA,BEKAERT Raphael,7.98,,International Men's Group A Shaolin Quan
FRA,DROUARD Loan,8.7,1st Category Prize,International Men's Group B Shaolin Quan
GER,Jessy Merten,8.64,1st Category Prize,International Men's Group B Shaolin Quan
KAZ,Rustamov Attila,8.62,1st Category Prize,International Men's Group B Shaolin Quan
USA,Kevin CHANG,8.61,2nd Category Prize,International Men's Group B Shaolin Quan
NED,Dan Radulescu,8.6,2nd Category Prize,International Men's Group B Shaolin Quan
TUN,firas sayahi,8.57,2nd Category Prize,International Men's Group B Shaolin Quan
KAZ,Kenzhegarin Batyrbek,8.56,2nd Category Prize,International Men's Group B Shaolin Quan
RUS,Vladimir KAMASHEV,8.56,2nd Category Prize,International Men's Group B Shaolin Quan
SVK,Filip BARTOS,8.56,2nd Category Prize,International Men's Group B Shaolin Quan
JPN,HIDENORI TANIZAKI,8.55,3rd Category Prize,International Men's Group B Shaolin Quan
TPE,CHEN i lun,8.53,3rd Category Prize,International Men's Group B Shaolin Quan
ITA,Michele Stefano RUPPOLO,8.49,3rd Category Prize,International Men's Group B Shaolin Quan
CAN,Andrew Alexander Stoenescu,8.49,3rd Category Prize,International Men's Group B Shaolin Quan
MEX,Raul GUTIERREZ,8.47,3rd Category Prize,International Men's Group B Shaolin Quan
KAZ,Orailo Danil,8.46,3rd Category Prize,International Men's Group B Shaolin Quan
USA,Trevor HEINEMANN,8.46,3rd Category Prize,International Men's Group B Shaolin Quan
USA,Tyler MALLORY,8.45,,International Men's Group B Shaolin Quan
FRA,SOUMACHE Lancelot,8.45,,International Men's Group B Shaolin Quan
BOL,Cristina Felipes Arcani,8.45,,International Men's Group B Shaolin Quan
ITA,William BADAS,8.44,,International Men's Group B Shaolin Quan
BOL,Leonardo Calamani,8.43,,International Men's Group B Shaolin Quan
MEX,Adrian TEYECHEA L,8.43,,International Men's Group B Shaolin Quan
USA,Ean BENNETT,8.43,,International Men's Group B Shaolin Quan
RSA,Raiden ADAMS,8.42,,International Men's Group B Shaolin Quan
GER,Thomas Schneider,8.41,,International Men's Group B Shaolin Quan
USA,Frank WU,8.4,,International Men's Group B Shaolin Quan
USA,Jeffrey CHON,9.1,1st Category Prize,International Men's Group C Shaolin Quan
RUS,Ilya LITVINCHUK,9.05,1st Category Prize,International Men's Group C Shaolin Quan
RUS,Igor MOROZ,9.01,1st Category Prize,International Men's Group C Shaolin Quan
SVK,Marian SUSEDKA,8.94,2nd Category Prize,International Men's Group C Shaolin Quan
ITA,Antonino STORNIOLO,8.92,2nd Category Prize,International Men's Group C Shaolin Quan
KAZ,Babenko Alexey,8.89,2nd Category Prize,International Men's Group C Shaolin Quan
FRA,ARISTIDE Julien,8.87,2nd Category Prize,International Men's Group C Shaolin Quan
JPN,KENTA OCHI,8.85,2nd Category Prize,International Men's Group C Shaolin Quan
ESP,VICENTE MIGUEL RAJA CATALA,8.82,3rd Category Prize,International Men's Group C Shaolin Quan
ITA,Claudio PARDO,8.81,3rd Category Prize,International Men's Group C Shaolin Quan
UKR,ARTEM SUONG,8.81,3rd Category Prize,International Men's Group C Shaolin Quan
TPE,LIN ting han,8.81,3rd Category Prize,International Men's Group C Shaolin Quan
CZE,Martin Lee,8.81,3rd Category Prize,International Men's Group C Shaolin Quan
FRA,GU Nicolas,8.8,3rd Category Prize,International Men's Group C Shaolin Quan
IRI,mohsen roozbahani,8.74,3rd Category Prize,International Men's Group C Shaolin Quan
RSA,Martin Henry VENSKI,8.73,3rd Category Prize,International Men's Group C Shaolin Quan
IRI,mahdi heidari esfandarani,8.71,,International Men's Group C Shaolin Quan
BRA,Giovani Ricardo CINTRA,8.69,,International Men's Group C Shaolin Quan
BOL,Ivan Vazques Menes,8.69,,International Men's Group C Shaolin Quan
IRI,ali akbar hojjati pour,8.68,,International Men's Group C Shaolin Quan
RSA,Matthew Harold AGNEW,8.67,,International Men's Group C Shaolin Quan
BRA,Fabricio OSAKU,8.67,,International Men's Group C Shaolin Quan
TUN,yassin aoled jbeli,8.64,,International Men's Group C Shaolin Quan
USA,Benny CHANTHAVONG,8.62,,International Men's Group C Shaolin Quan
ROU,Iana Mihail Alexandru,8.53,,International Men's Group C Shaolin Quan
RUS,Andrey BOYKOV,8.94,1st Category Prize,International Men's Group D Shaolin Quan
JPN,KENSUKE SAKAI,8.87,2nd Category Prize,International Men's Group D Shaolin Quan
RSA,Brennan John Dominicus GLANSBEEK,8.82,3rd Category Prize,International Men's Group D Shaolin Quan
RSA,Albert Mthunzi LUTHULI,8.68,3rd Category Prize,International Men's Group D Shaolin Quan
ARG,Fernando Franco,8.64,,International Men's Group D Shaolin Quan
ARG,Fernando Cima,8.64,,International Men's Group D Shaolin Quan
FRA,SOUMACHE Aton,8.5,,International Men's Group D Shaolin Quan
USA,Kaitlyn TRAN,8.61,1st Category Prize,International Women's Group B Shaolin Quan
USA,Nina FRIAS,8.58,2nd Category Prize,International Women's Group B Shaolin Quan
GER,Konstanzia Merten,8.48,2nd Category Prize,International Women's Group B Shaolin Quan
RSA,Erin MC CARDLE,8.45,3rd Category Prize,International Women's Group B Shaolin Quan
FRA,SOUMACHE Colette,8.44,3rd Category Prize,International Women's Group B Shaolin Quan
KAZ,Kuspanova Dayana,8.43,3rd Category Prize,International Women's Group B Shaolin Quan
KAZ,Abdulmanova Amina,8.41,,International Women's Group B Shaolin Quan
FRA,GAY Lauranne,8.4,,International Women's Group B Shaolin Quan
BOL,Wara Guevara Pinedo,8.4,,International Women's Group B Shaolin Quan
TPE,CHEN yu han,8.39,,International Women's Group B Shaolin Quan
USA,Xiaoyi CHEN,8.78,1st Category Prize,International Women's Group C Shaolin Quan
ITA,Alessia TARTUFOLI,8.67,2nd Category Prize,International Women's Group C Shaolin Quan
RSA,Sinead Ashley STARLEY,8.66,3rd Category Prize,International Women's Group C Shaolin Quan
RSA,Nerine DU PLESSIS,8.64,3rd Category Prize,International Women's Group C Shaolin Quan
USA,Anna LI,8.54,,International Women's Group C Shaolin Quan
ARG,Amanda Mamani,8.43,,International Women's Group C Shaolin Quan
EGY,Hagar Mohamed Elsayed Farahat,9,1st Category Prize,International Women's Group C Other Types of Traditional Styles
RUS,Anna SHATAEVA,8.96,1st Category Prize,International Women's Group C Other Types of Traditional Styles
BRA,Raquel dos Santos ARAUJO,8.9,2nd Category Prize,International Women's Group C Other Types of Traditional Styles
