Team,Athlete,Score,Form
GEO,Giorgi GERMANOZASVILI,8.47,Men's Group C Southern Styles Nanquan
POL,Lukasz Mateusz MASLANKA,8.44,Men's Group C Southern Styles Nanquan
SRI,Dinuka Kawshan Jayasingha MAHADURAGE,8.43,Men's Group C Southern Styles Nanquan
PER,Shandarie LOLI MORALES,8.42,Men's Group C Southern Styles Nanquan
SVK,Michal REDHAMMER,8.42,Men's Group C Southern Styles Nanquan
USA,Zheyu CHEN,8.41,Men's Group C Southern Styles Nanquan
USA,Zane ORT,8.39,Men's Group C Southern Styles Nanquan
USA,Miles LUU,8.38,Men's Group C Southern Styles Nanquan
ROU,Victor HASIEGANU,8.37,Men's Group C Southern Styles Nanquan
CZE,Max PROCHAZKA,8.34,Men's Group C Southern Styles Nanquan
GRE,Alexandros TSOUKIAS,8.33,Men's Group C Southern Styles Nanquan
SRI,Asith Pasandul Paranavithana SAMARARARATHNA MUHANDIRAMGE,8.33,Men's Group C Southern Styles Nanquan
SRI,Kushan Prabod WICKCRAMA KURUPPU ARACHCHIGE,8.31,Men's Group C Southern Styles Nanquan
MAS,Wei Bin CHIN,8.31,Men's Group C Southern Styles Nanquan
USA,Allen ZHAO,8.29,Men's Group C Southern Styles Nanquan
CHI,Benjamin Ignacio HENRIQUEZ SERRANO,8.26,Men's Group C Southern Styles Nanquan
PER,Marco Aurelio CASTIGLIONE SANCHEZ,,Men's Group C Southern Styles Nanquan
PAK,Muhammad DAWOOD,,Men's Group C Southern Styles Nanquan
IND,Davnam Parth .,,Men's Group C Southern Styles Nanquan
EGY,Youssef KHALIL,8.98,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
USA,Reid LINDSAY,8.97,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
USA,Nathan CHOU,8.82,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
MAS,Zi Hong WONG,8.81,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
USA,Michail Panchev TZANKOV,8.77,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
USA,Zhaokai HE,8.73,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
SRI,Chenura Supipun Dissanayake DISSANAYAKE MUDIYANSELAGE,8.6,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
IND,Omkar Rhushikesh MODAK,8.55,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
USA,Ethan ZHU,8.39,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
USA,Luke TIAN,8.34,Men's Group C Taiji Jian (Including 42 Posture Taiji Jian)
TUR,Necmettin Erbakan AKYUZ,8.68,Men's Group C Tongbei Quan
USA,Bryan ZENG,8.61,Men's Group C Tongbei Quan
USA,Hanson MA,8.55,Men's Group C Tongbei Quan
USA,Siddharth MANE,8.54,Men's Group C Tongbei Quan
USA,Mason Tsan-ming BRAYTON,8.48,Men's Group C Tongbei Quan
USA,Casey LEW,8.45,Men's Group C Tongbei Quan
USA,Jordan MEI,8.44,Men's Group C Tongbei Quan
USA,Eric YEH,8.42,Men's Group C Tongbei Quan
USA,Ashton YIM,8.7,Men's Group C Traditional Flexible/Soft Weapon
USA,Bryan ZENG,8.61,Men's Group C Traditional Flexible/Soft Weapon
USA,Matthew WANG,8.55,Men's Group C Traditional Flexible/Soft Weapon
USA,Ryan YEE,8.53,Men's Group C Traditional Flexible/Soft Weapon
USA,Casey LEW,8.51,Men's Group C Traditional Flexible/Soft Weapon
USA,Frank Wenhao WU,8.5,Men's Group C Traditional Flexible/Soft Weapon
USA,Jaden AGIN,8.47,Men's Group C Traditional Flexible/Soft Weapon
USA,Nathan LY,8.46,Men's Group C Traditional Flexible/Soft Weapon
ALG,Mahmoudi MOHAMED,8.39,Men's Group C Traditional Flexible/Soft Weapon
SRI,Dinuka Kawshan Jayasingha MAHADURAGE,8.34,Men's Group C Traditional Flexible/Soft Weapon
USA,Jack AQUI,,Men's Group C Traditional Flexible/Soft Weapon
FRA,Casey CALABER,8.61,Men's Group C Xingyi Quan
EGY,Walid WAHIBY,8.51,Men's Group C Xingyi Quan
USA,Kaden LUU,8.49,Men's Group C Xingyi Quan
USA,Gavin ZHAO,8.43,Men's Group C Xingyi Quan
USA,Austin SHAW,8.42,Men's Group C Xingyi Quan
USA,Jack ROTHENFLUCH,8.33,Men's Group C Xingyi Quan
GER,Alexander TOROPOV,8.31,Men's Group C Xingyi Quan
TUN,Jihed BELLOUMI,,Men's Group C Xingyi Quan
USA,Evan XU,8.99,Men's Group C Zui Jian (Drunken Sword)
USA,Alec ZHANG,8.9,Men's Group C Zui Jian (Drunken Sword)
POL,Maksymilian Grzegorz MURSZEWSKI,8.87,Men's Group C Zui Jian (Drunken Sword)
USA,Ryan GALLAGHER,8.84,Men's Group C Zui Jian (Drunken Sword)
USA,Jordan MEI,8.75,Men's Group C Zui Jian (Drunken Sword)
USA,Zane ORT,8.74,Men's Group C Zui Jian (Drunken Sword)
SGP,Neo Gao En NEO,8.73,Men's Group C Zui Jian (Drunken Sword)
UKR,Olexandr TYUTYUNNYK,9.11,Men's Group D Cha Quan
RUS,Ilias KHUSNUTDINOV,9.06,Men's Group D Cha Quan
RUS,Dmitrii MININ,9,Men's Group D Cha Quan
RUS,Denis KAZANTSEV,8.94,Men's Group D Cha Quan
UKR,Kyrylo MUKHIN,8.91,Men's Group D Cha Quan
ROU,Giuliano Isa ZAMOLO,8.91,Men's Group D Cha Quan
MAC,Ka Chon CHEONG,8.86,Men's Group D Cha Quan
USA,Sydney LY,8.86,Men's Group D Cha Quan
USA,Ian WONG,8.78,Men's Group D Cha Quan
SRI,Ravindu Chanuka GAMAGE,8.78,Men's Group D Cha Quan
SGP,Ernest Teo Zhi Kai TEO,8.76,Men's Group D Cha Quan
ARG,Gaston Mauricio BORRA,8.71,Men's Group D Cha Quan
ESP,Rafael GROLIER NOGUEIRA,8.71,Men's Group D Cha Quan
USA,Hao ZHANG,9.17,Men's Group D Chen Style Taiji Jian
HKG,Pak Long SAT,9.1,Men's Group D Chen Style Taiji Jian
ITA,Gianluigi BISONI,9,Men's Group D Chen Style Taiji Jian
BUL,Petar Simeonov DRAGOEV,8.92,Men's Group D Chen Style Taiji Jian
ITA,Andrea BALLIANA,8.88,Men's Group D Chen Style Taiji Jian
SVK,Lubomir FRANCE,8.87,Men's Group D Chen Style Taiji Jian
BUL,Ivo Georgiev GEORGIEV,8.75,Men's Group D Chen Style Taiji Jian
USA,Hao ZHANG,9.04,Men's Group D Chen Style Taijiquan
HKG,Jiahong ZHUANG,8.81,Men's Group D Chen Style Taijiquan
HUN,Mihaly FILOCI,8.8,Men's Group D Chen Style Taijiquan
USA,Jeffrie WANG,8.75,Men's Group D Chen Style Taijiquan
SVK,Michal SLAMKA,8.73,Men's Group D Chen Style Taijiquan
EGY,Omar OMAR,8.73,Men's Group D Chen Style Taijiquan
BUL,Ivo Georgiev GEORGIEV,8.7,Men's Group D Chen Style Taijiquan
EGY,Ahmed MAHMOUD,8.69,Men's Group D Chen Style Taijiquan
ITA,Gianluigi BISONI,8.69,Men's Group D Chen Style Taijiquan
ITA,Andrea BALLIANA,8.64,Men's Group D Chen Style Taijiquan
SVK,Lubomir FRANCE,8.63,Men's Group D Chen Style Taijiquan
BUL,Petar Simeonov DRAGOEV,8.61,Men's Group D Chen Style Taijiquan
USA,Wendell HOM,,Men's Group D Chen Style Taijiquan
BRA,Anthony DA SILVA CAPELAZZO,9.06,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
CHI,Andres Guillermo TOBAR TRONCOSO,9,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
BRA,Cleu DE ALMEIDA COSTA,8.93,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
RUS,Igor MOROZ,8.93,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
CHI,Francisco Andres MORALES BERRIOS,8.89,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
CHI,Daniel Jesus RUIZ SAVARIA,8.88,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
CHI,Hector Rodrigo MORENO ESPONIZA,8.85,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
CHI,Alejandro Andres HORMAZABAL VILCHES,8.85,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
MAS,Ka Hee LAM,8.84,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
MAC,Man Hou LAM,8.79,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
ESP,Rodrigo BONILLA TORIBIO,8.79,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
CHI,Diego Hernan GAMEZ MORGADO,8.78,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
CHI,Oscar Antonio GONZALEZ CONTI,8.78,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
ARG,Federico Eduardo RODOGNO,8.78,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
IND,Divyansh Manoj GUPTA,8.73,Men's Group D Choy Lay Fut Kune (Cailifo Quan)
RUS,Ilias KHUSNUTDINOV,9.2,Men's Group D Dao (Broadsword)
RUS,Radik ZARIPOV,9.15,Men's Group D Dao (Broadsword)
RUS,Denis KAZANTSEV,9.1,Men's Group D Dao (Broadsword)
ITA,Alessandro PIRAS,9.09,Men's Group D Dao (Broadsword)
RUS,Nikita TITOV,9.05,Men's Group D Dao (Broadsword)
USA,Ean BENNETT,9,Men's Group D Dao (Broadsword)
TPE,Chang Min LIU,8.99,Men's Group D Dao (Broadsword)
CHI,Rafael Ignacio NUNEZ ALARCON,8.98,Men's Group D Dao (Broadsword)
SGP,Yeap Zheng Hong YEAP,8.98,Men's Group D Dao (Broadsword)
GER,Kai Frank JANSEN,8.97,Men's Group D Dao (Broadsword)
UKR,Kyrylo MUKHIN,8.91,Men's Group D Dao (Broadsword)
USA,Alan TENG,8.88,Men's Group D Dao (Broadsword)
TUN,Mohamed DAADAA,8.87,Men's Group D Dao (Broadsword)
BRA,Ian Godel MESQUITA SCHRADER,8.87,Men's Group D Dao (Broadsword)
BRA,Giovane Ricardo CINTRA,8.86,Men's Group D Dao (Broadsword)
CHI,Hector Rodrigo MORENO ESPONIZA,8.86,Men's Group D Dao (Broadsword)
MAC,Ka Chon CHEONG,8.81,Men's Group D Dao (Broadsword)
BRA,Amyr FURLAN DA CUNHA,8.81,Men's Group D Dao (Broadsword)
GRE,Georgios POULIAS,8.8,Men's Group D Dao (Broadsword)
SGP,Ng Shao Yuan Alphonsius NG,8.8,Men's Group D Dao (Broadsword)
TJK,Mirzodalerkhon KHURSHEDZODA,8.79,Men's Group D Dao (Broadsword)
TJK,Muhammadkhoja AHMADOV,8.75,Men's Group D Dao (Broadsword)
SRI,Shan Nethmina KASTHURI ARACHCHIGE,8.51,Men's Group D Dao (Broadsword)
PAK,Amanat ALI,,Men's Group D Dao (Broadsword)
IND,Tarun NAMDEO,,Men's Group D Dao (Broadsword)
BUL,Dimitar Mladenov MIHAYLOV,,Men's Group D Dao (Broadsword)
RUS,Denis ZAGIBALOV,9.08,Men's Group D Fanzi Quan
GEO,David GULISASHVILI,9.01,Men's Group D Fanzi Quan
USA,Junhong CHON,8.95,Men's Group D Fanzi Quan
USA,Michael MOORE,8.86,Men's Group D Fanzi Quan
TJK,Fotekh TABAROV,,Men's Group D Fanzi Quan
RUS,Nikita TITOV,,Men's Group D Fanzi Quan
USA,Sen GAO,9.16,Men's Group D Guandao (Kwan Dao)
TPE,Ting Han LIN,9.04,Men's Group D Guandao (Kwan Dao)
GEO,David GULISASHVILI,8.96,Men's Group D Guandao (Kwan Dao)
SGP,Ernest Teo Zhi Kai TEO,8.82,Men's Group D Guandao (Kwan Dao)
BRA,Alberto RODRIGUES JUNIOR,8.77,Men's Group D Guandao (Kwan Dao)
SGP,Ng Shao Chun Aloysius NG,8.76,Men's Group D Guandao (Kwan Dao)
EGY,Nasr Ibrahim Tawfik Mosaad SALEM,8.74,Men's Group D Guandao (Kwan Dao)
ALG,Bouhamidane AHMED,,Men's Group D Guandao (Kwan Dao)
RUS,Ilya LITVINCHUK,9.19,Men's Group D Gun (Cudgel/Staff)
ESP,Francisco GARCIA MAZUECOS,9.1,Men's Group D Gun (Cudgel/Staff)
BRA,Anthony DA SILVA CAPELAZZO,9.09,Men's Group D Gun (Cudgel/Staff)
RUS,Oleg KHANDESHIN,9.06,Men's Group D Gun (Cudgel/Staff)
KAZ,Alexey BABENKO,9.01,Men's Group D Gun (Cudgel/Staff)
LTU,Aram MURADYAN,8.95,Men's Group D Gun (Cudgel/Staff)
BRA,Henrique NUNES SANTANA,8.9,Men's Group D Gun (Cudgel/Staff)
CHI,Francisco Andres MORALES BERRIOS,8.83,Men's Group D Gun (Cudgel/Staff)
TUN,Yassine HADDAD,8.81,Men's Group D Gun (Cudgel/Staff)
SRI,Ravindu Chanuka GAMAGE,8.81,Men's Group D Gun (Cudgel/Staff)
UKR,Artem HASHCHUK,8.8,Men's Group D Gun (Cudgel/Staff)
FRA,Nicolas GU,8.78,Men's Group D Gun (Cudgel/Staff)
ITA,Claudio DI BENEDETTO,8.78,Men's Group D Gun (Cudgel/Staff)
USA,Andrew TAN,8.7,Men's Group D Gun (Cudgel/Staff)
FRA,Raphael MAURICE,8.55,Men's Group D Gun (Cudgel/Staff)
ITA,Davide FIRINU,,Men's Group D Gun (Cudgel/Staff)
CHN,Jia Chou CHEN,9.19,Men's Group D Hung Gar Kune (Hongjia Quan)
MAC,Chan Pong NG,9,Men's Group D Hung Gar Kune (Hongjia Quan)
MAC,Chon Wong MA,8.94,Men's Group D Hung Gar Kune (Hongjia Quan)
CZE,Karel KRAL,8.87,Men's Group D Hung Gar Kune (Hongjia Quan)
CZE,Kamil KANINSKY,8.86,Men's Group D Hung Gar Kune (Hongjia Quan)
ALG,Belghazi ZINE EL ABIDINE,8.84,Men's Group D Hung Gar Kune (Hongjia Quan)
SGP,Ng Shao Chun Aloysius NG,8.83,Men's Group D Hung Gar Kune (Hongjia Quan)
CZE,Jaroslav KEKRT,8.82,Men's Group D Hung Gar Kune (Hongjia Quan)
ESP,Jose Luis MORALES GARCIA,8.82,Men's Group D Hung Gar Kune (Hongjia Quan)
CZE,Jakub MIRATSKY,8.81,Men's Group D Hung Gar Kune (Hongjia Quan)
AUS,Kevin KOU,8.78,Men's Group D Hung Gar Kune (Hongjia Quan)
AUS,Sean CHEN,8.77,Men's Group D Hung Gar Kune (Hongjia Quan)
SVK,Peter KYSEL,8.75,Men's Group D Hung Gar Kune (Hongjia Quan)
PER,Ernesto Mauricio ORTIZ GOMEZ,,Men's Group D Hung Gar Kune (Hongjia Quan)
UKR,Daniil FESHCENKO,9.01,Men's Group D Imitation Eagle Style
SGP,Yeap Zheng Hong YEAP,8.91,Men's Group D Imitation Eagle Style
KAZ,Arstan URAZOV,8.9,Men's Group D Imitation Eagle Style
USA,Brandon LIU,8.84,Men's Group D Imitation Eagle Style
USA,Krist Bryan CALDWELL,8.75,Men's Group D Imitation Eagle Style
MAS,Qing Hao MAH,8.75,Men's Group D Imitation Eagle Style
HKG,Yuanpeng ZHU,9.25,Men's Group D Imitation Other Styles
RUS,Aleksandr EMELIANENKO,9.07,Men's Group D Imitation Other Styles
RUS,Dmitrii TIUNOV,9.06,Men's Group D Imitation Other Styles
ESP,Francisco GARCIA MAZUECOS,9,Men's Group D Imitation Other Styles
MAC,Ka Seng LAM,9,Men's Group D Imitation Other Styles
USA,Ean BENNETT,8.96,Men's Group D Imitation Other Styles
PER,Robinson Angelo CACHICATARI MENDOZA,8.92,Men's Group D Imitation Other Styles
ESP,Javier TORRES GISBERT,8.91,Men's Group D Imitation Other Styles
ITA,Claudio DI BENEDETTO,8.9,Men's Group D Imitation Other Styles
TPE,Chang Min LIU,8.89,Men's Group D Imitation Other Styles
KAZ,Gali DAULETZHAN,8.89,Men's Group D Imitation Other Styles
MAS,Yew Meng ONG,8.86,Men's Group D Imitation Other Styles
BRA,Marcelo Vinicius GIRALDI DE OLIVEIRA,8.82,Men's Group D Imitation Other Styles
ALG,Smaimi ABDELAALI,,Men's Group D Imitation Other Styles
NZL,Ethan Rafael Agbayani DE GUZMAN,,Men's Group D Imitation Other Styles
CHN,Ju Tian ZHENG,9.28,Men's Group D Jian (Straight Sword)
UKR,Olexandr TYUTYUNNYK,9.17,Men's Group D Jian (Straight Sword)
RUS,Dmitrii MININ,9.09,Men's Group D Jian (Straight Sword)
SVK,Michal SLAMKA,9,Men's Group D Jian (Straight Sword)
ARG,Nelso Cesar CARELLA,8.99,Men's Group D Jian (Straight Sword)
SGP,Ho Kai Leong HO,8.93,Men's Group D Jian (Straight Sword)
ITA,Ivo ZEDDA,8.93,Men's Group D Jian (Straight Sword)
USA,Sydney LY,8.92,Men's Group D Jian (Straight Sword)
KAZ,Arstan URAZOV,8.9,Men's Group D Jian (Straight Sword)
IND,Divyansh Manoj GUPTA,8.82,Men's Group D Jian (Straight Sword)
USA,Cody FONG,8.78,Men's Group D Jian (Straight Sword)
USA,Matthew CHAN,8.75,Men's Group D Jian (Straight Sword)
ROU,Marius-andrei IOANA,8.73,Men's Group D Jian (Straight Sword)
BRA,Eduardo DE SOUZA LIMA,8.7,Men's Group D Jian (Straight Sword)
ROU,David Stefan PETA,8.61,Men's Group D Jian (Straight Sword)
RUS,Denis ZAGIBALOV,9.17,Men's Group D Jiu Jie Bian (Nine Section Whip Chain)
PER,Robinson Angelo CACHICATARI MENDOZA,9,Men's Group D Jiu Jie Bian (Nine Section Whip Chain)
NZL,Ethan Rafael Agbayani DE GUZMAN,8.9,Men's Group D Jiu Jie Bian (Nine Section Whip Chain)
ESP,Jose Luis MORALES GARCIA,8.86,Men's Group D Jiu Jie Bian (Nine Section Whip Chain)
ESP,Javier TORRES GISBERT,8.77,Men's Group D Jiu Jie Bian (Nine Section Whip Chain)
ITA,Francesco Daniel COSENTINO,8.67,Men's Group D Jiu Jie Bian (Nine Section Whip Chain)
MAS,Qing Hao MAH,8.56,Men's Group D Jiu Jie Bian (Nine Section Whip Chain)
MAS,Yew Meng ONG,9.12,Men's Group D Nan Dao (Southern Broadsword)
HKG,James Lawrence YUEN,9,Men's Group D Nan Dao (Southern Broadsword)
RUS,Artem ALTYSHEV,8.99,Men's Group D Nan Dao (Southern Broadsword)
AFG,Ebram JAMSHID,8.99,Men's Group D Nan Dao (Southern Broadsword)
RUS,Aleksandr EMELIANENKO,8.91,Men's Group D Nan Dao (Southern Broadsword)
KAZ,Gali DAULETZHAN,8.9,Men's Group D Nan Dao (Southern Broadsword)
INA,Iwanto IWANTO,8.8,Men's Group D Nan Dao (Southern Broadsword)
COL,William Andres MOLANO ANDRADE,8.75,Men's Group D Nan Dao (Southern Broadsword)
ROU,Mihai IOANA,8.75,Men's Group D Nan Dao (Southern Broadsword)
CZE,Karel KRAL,8.73,Men's Group D Nan Dao (Southern Broadsword)
AUS,Jake LACEY,8.66,Men's Group D Nan Dao (Southern Broadsword)
ALG,Smaimi ABDELAALI,,Men's Group D Nan Dao (Southern Broadsword)
CHN,Jia Chou CHEN,9.24,Men's Group D Nan Gun (Southern Staff/Cudgel)
RUS,Igor MOROZ,9.19,Men's Group D Nan Gun (Southern Staff/Cudgel)
HKG,Yuanpeng ZHU,9.15,Men's Group D Nan Gun (Southern Staff/Cudgel)
SRI,Jeewan Maduranga PAYAGALAGE,8.99,Men's Group D Nan Gun (Southern Staff/Cudgel)
SRI,Viraj Denuka Chathuranga WICKRAMASINGHE MUDIYANSELAGE,8.97,Men's Group D Nan Gun (Southern Staff/Cudgel)
TUR,Mustafa Bedirhan CAPOGLU,8.93,Men's Group D Nan Gun (Southern Staff/Cudgel)
CZE,Jaroslav KEKRT,8.89,Men's Group D Nan Gun (Southern Staff/Cudgel)
RUS,Andrei NIKITIN,8.86,Men's Group D Nan Gun (Southern Staff/Cudgel)
PER,Ernesto Mauricio ORTIZ GOMEZ,8.85,Men's Group D Nan Gun (Southern Staff/Cudgel)
CZE,Kamil KANINSKY,8.82,Men's Group D Nan Gun (Southern Staff/Cudgel)
AUS,Kevin KOU,8.76,Men's Group D Nan Gun (Southern Staff/Cudgel)
SVK,Igor SAKALA,8.75,Men's Group D Nan Gun (Southern Staff/Cudgel)
AUS,Sean CHEN,8.73,Men's Group D Nan Gun (Southern Staff/Cudgel)
CZE,Jakub MIRATSKY,8.72,Men's Group D Nan Gun (Southern Staff/Cudgel)
SRI,Sanka Madhura KEKUNAWELA WEERATHUNGAGE,8.71,Men's Group D Nan Gun (Southern Staff/Cudgel)
USA,Srinivas Brinda BALAGOPAL,8.66,Men's Group D Nan Gun (Southern Staff/Cudgel)
TPE,Ting Han LIN,9.05,Men's Group D Other Southern Styles Nanquan
RUS,Artem ALTYSHEV,9.02,Men's Group D Other Southern Styles Nanquan
AFG,Ebram JAMSHID,8.99,Men's Group D Other Southern Styles Nanquan
POL,Tomasz BILUT,8.93,Men's Group D Other Southern Styles Nanquan
SGP,Yap Wei Sheng Wilson YAP,8.86,Men's Group D Other Southern Styles Nanquan
BRA,Iuri BORGES COUTINHO GALLO,8.85,Men's Group D Other Southern Styles Nanquan
SRI,Viraj Denuka Chathuranga WICKRAMASINGHE MUDIYANSELAGE,8.85,Men's Group D Other Southern Styles Nanquan
SRI,Jeewan Maduranga PAYAGALAGE,8.82,Men's Group D Other Southern Styles Nanquan
SRI,Sanka Madhura KEKUNAWELA WEERATHUNGAGE,8.82,Men's Group D Other Southern Styles Nanquan
BRA,Miguel DE OLIVEIRA MANACERO,8.8,Men's Group D Other Southern Styles Nanquan
SGP,Ng Shao Yuan Alphonsius NG,8.8,Men's Group D Other Southern Styles Nanquan
GRE,Georgios POULIAS,8.8,Men's Group D Other Southern Styles Nanquan
TUR,Mustafa Bedirhan CAPOGLU,8.79,Men's Group D Other Southern Styles Nanquan
ROU,Marius-andrei IOANA,8.78,Men's Group D Other Southern Styles Nanquan
AUS,Jake LACEY,8.78,Men's Group D Other Southern Styles Nanquan
INA,Iwanto IWANTO,8.76,Men's Group D Other Southern Styles Nanquan
ROU,David Stefan PETA,8.72,Men's Group D Other Southern Styles Nanquan
FRA,Raphael MAURICE,8.65,Men's Group D Other Southern Styles Nanquan
RUS,Vasilii KISLITCYN,9.08,Men's Group D Other Taiji Jian
EGY,Omar OMAR,9.07,Men's Group D Other Taiji Jian
EGY,Ahmed MAHMOUD,8.97,Men's Group D Other Taiji Jian
ALG,Hamraoui ADEL,8.94,Men's Group D Other Taiji Jian
UKR,Mykola HOLOBORODKO,8.86,Men's Group D Other Taiji Jian
IND,Atharv Rhushikesh MODAK,8.76,Men's Group D Other Taiji Jian
ESP,Mario SIMON GARCIA,8.76,Men's Group D Other Taiji Jian
BRA,Caio ZANINI,8.7,Men's Group D Other Taiji Jian
USA,Jeffrie WANG,8.37,Men's Group D Other Taiji Jian
HKG,Pak Long SAT,9.03,Men's Group D Other Taijiquan
EGY,Mohamed Mohamed Elblshy MOHAMED,9,Men's Group D Other Taijiquan
RUS,Vasilii KISLITCYN,8.87,Men's Group D Other Taijiquan
UKR,Mykola HOLOBORODKO,8.84,Men's Group D Other Taijiquan
BRA,Caio ZANINI,8.83,Men's Group D Other Taijiquan
ESP,Mario SIMON GARCIA,8.81,Men's Group D Other Taijiquan
GER,Kai Frank JANSEN,8.81,Men's Group D Other Taijiquan
JPN,Shoichiro UMEHARA,8.8,Men's Group D Other Taijiquan
IND,Atharv Rhushikesh MODAK,8.8,Men's Group D Other Taijiquan
ALG,Hamraoui ADEL,8.79,Men's Group D Other Taijiquan
BUL,Dimitar Mladenov MIHAYLOV,8.73,Men's Group D Other Taijiquan
IND,Rajmalhar Mahesh VHATKAR,8.72,Men's Group D Other Taijiquan
IND,Ankit SHARMA,8.42,Men's Group D Other Taijiquan
CHI,David Gabriel BOBADILLA MOLINA,8.98,Men's Group D Other Traditional Double Weapon
TPE,I Lun CHEN,8.96,Men's Group D Other Traditional Double Weapon
POL,Tomasz BILUT,8.9,Men's Group D Other Traditional Double Weapon
MAS,Ka Hee LAM,8.88,Men's Group D Other Traditional Double Weapon
USA,Krist Bryan CALDWELL,8.87,Men's Group D Other Traditional Double Weapon
USA,Brandon LIU,8.86,Men's Group D Other Traditional Double Weapon
CHI,Ariel MANCILLA BARRIENTOS,8.85,Men's Group D Other Traditional Double Weapon
SGP,Yap Wei Sheng Wilson YAP,8.85,Men's Group D Other Traditional Double Weapon
BRA,Fabricio OSAKU,8.83,Men's Group D Other Traditional Double Weapon
USA,Michael MOORE,8.77,Men's Group D Other Traditional Double Weapon
BRA,Estevao Calebe ALMEIDA VILAS BOAS,8.72,Men's Group D Other Traditional Double Weapon
SRI,Mohamed Nusky MOHAMED FAIZER,8.71,Men's Group D Other Traditional Double Weapon
USA,Wendell HOM,,Men's Group D Other Traditional Double Weapon
UKR,Daniil FESHCENKO,9.03,Men's Group D Other Traditional Flexible/Soft Weapon
RUS,Andrey MORKOVKIN,9,Men's Group D Other Traditional Flexible/Soft Weapon
BRA,Cleu DE ALMEIDA COSTA,8.97,Men's Group D Other Traditional Flexible/Soft Weapon
PER,Leonardo Hernan SANCHEZ LAURA,8.94,Men's Group D Other Traditional Flexible/Soft Weapon
USA,Junhong CHON,8.88,Men's Group D Other Traditional Flexible/Soft Weapon
ROU,Giuliano Isa ZAMOLO,8.86,Men's Group D Other Traditional Flexible/Soft Weapon
TJK,Fotekh TABAROV,8.85,Men's Group D Other Traditional Flexible/Soft Weapon
CHI,Andres Guillermo TOBAR TRONCOSO,8.84,Men's Group D Other Traditional Flexible/Soft Weapon
AUS,Timothy HONDROUDAKIS,8.83,Men's Group D Other Traditional Flexible/Soft Weapon
USA,Aaron KEYS,8.72,Men's Group D Other Traditional Flexible/Soft Weapon
CHN,Fu Kui LI,9.26,Men's Group D Other Traditional Single Weapon
CHN,Xiao Jun ZHANG,9.15,Men's Group D Other Traditional Single Weapon
TPE,Ming Feng CHEN,8.98,Men's Group D Other Traditional Single Weapon
MAC,Man Hou LAM,8.91,Men's Group D Other Traditional Single Weapon
EGY,Mohamed Mohamed Elblshy MOHAMED,8.9,Men's Group D Other Traditional Single Weapon
ESP,Rodrigo BONILLA TORIBIO,8.86,Men's Group D Other Traditional Single Weapon
BRA,Marcelo Vinicius GIRALDI DE OLIVEIRA,8.85,Men's Group D Other Traditional Single Weapon
ESP,Rafael GROLIER NOGUEIRA,8.83,Men's Group D Other Traditional Single Weapon
CHI,Alejandro Andres HORMAZABAL VILCHES,8.81,Men's Group D Other Traditional Single Weapon
GEO,Beka ZHORZHOLADZE,8.78,Men's Group D Other Traditional Single Weapon
ALG,Arab AZEDINE,8.65,Men's Group D Other Traditional Single Weapon
USA,Sen GAO,9.14,Men's Group D Other Types of Traditional Styles
CHN,Xiao Jun ZHANG,9.13,Men's Group D Other Types of Traditional Styles
JPN,Ryuhei KOJIMA,9.08,Men's Group D Other Types of Traditional Styles
UKR,Viacheslav KRYSKO,9.05,Men's Group D Other Types of Traditional Styles
RUS,Radik ZARIPOV,9.03,Men's Group D Other Types of Traditional Styles
EGY,Ahmed ABDOU,9.01,Men's Group D Other Types of Traditional Styles
TPE,Ming Feng CHEN,9,Men's Group D Other Types of Traditional Styles
JPN,Takeo OCHIAI,8.99,Men's Group D Other Types of Traditional Styles
LTU,Aram MURADYAN,8.97,Men's Group D Other Types of Traditional Styles
CHI,David Gabriel BOBADILLA MOLINA,8.96,Men's Group D Other Types of Traditional Styles
PER,Martin Xiangdong HUANG HERMIDA,8.95,Men's Group D Other Types of Traditional Styles
ITA,Alessandro PIRAS,8.89,Men's Group D Other Types of Traditional Styles
BRA,Caio FERNANDES MARTINES,8.87,Men's Group D Other Types of Traditional Styles
USA,Matthew CHAN,8.86,Men's Group D Other Types of Traditional Styles
