Rank	Bib	Athlete	NOC	Total				
25	01938	VALAGKOUTI Iro Athina	GRC	8.02		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
26	01401	AMADE GONCALVES Cheila	PRT	7.82		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
	04404	LE Gia Han	VNM	(DNS)		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
	03307	KEN Rui Xin	SGP	(DNS)		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
	04216	YAZYKOVA Maryna	UKR	(DNS)		. Women's Other Barehand Routines-Group D	Wushu Taolu	Emeishan
1	00909	HAN Junxia	CHN	8.85	1ST Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
2	00712	Michele Maki NAKASONE	GBR	8.79	1ST Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
3	00603	AMIDANI SOARES DE AZEVEDO Paula	BRA	8.76	1ST Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
4	00911	HUANG Yi	CHN	8.7	1ST Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
5	02906	ENGEL Beata	POL	8.66	2ND Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
6	00106	ROMERO Sabine	FRA	8.62	2ND Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
7	01909	KOKKINAKI Anna	GRC	8.61	2ND Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
8	01411	MATOS COSTA Mafalda	PRT	8.6	2ND Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
9	02104	ARUTYUNJAN Maria	HUN	8.6	3RD Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
10	04318	GAO Lin	USA	8.59	3RD Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
11	02507	MAK Angela Jia Li	AUS	8.57	3RD Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
12	01413	RAMOS CANDEIAS Irene Regina	PRT	8.5	3RD Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
13	03908	SERIAKOVA Liubov	KGZ	8.48	3RD Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
14	04344	ROVIRA-ALVAREZ Carmen Margarita	USA	8.47	3RD Prize	. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
15	03905	PAK Tatiana	KGZ	8.45		. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
16	01911	KONSTANTINOU Maria	GRC	8.41		. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
17	03904	NESHCHERET Natalia	KGZ	8.4		. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
18	02604	KAZAKOVA Elena	LVA	8.35		. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
19	01927	PAPADOPOULOU Elisavet	GRC	8.3		. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
20	02503	HERMANS Rosemary	AUS	8.27		. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
	00109	TRAN CONG Francine	FRA	(DNS)		. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
	00629	ROMANO CARDOSO SILVESTRE Nina	BRA	(DNS)		. Women's Other Barehand Routines-Group E/F	Wushu Taolu	Emeishan
1	02407	MUKHAMETOV Alizhan	KAZ	8.9	1ST Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
2	01706	GERMANOZASHVILI Giorgi	GEO	8.71	1ST Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
3	00609	DE OLIVEIRA PICONE Arthur	BRA	8.7	2ND Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
4	04505	IFARGAN Yuval	ISR	8.68	2ND Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
5	04602	BOROOAH Arhaan	IND	8.66	2ND Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
6	00613	GALVANINE WILLE Heitor	BRA	8.65	3RD Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
7	01204	HUSAK Lukas	CZE	8.63	3RD Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
8	02824	RIVAS RODRIGUEZ Humberto	MEX	8.62	3RD Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
9	02415	TULEYEV Aldiyar	KAZ	8.59	3RD Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
10	01934	TASOPOULOS Ioannis	GRC	8.54	3RD Prize	. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
11	01913	KREMMYDAS Panagiotis	GRC	8.5		. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
12	04905	DAYARATHNE Thalagahamula Gedara Kavindu Sahan	LKA	8.5		. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
13	04510	PUZIS Kiril	ISR	8.45		. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
14	01930	PAPATHANASIOU Theodoros Marios	GRC	8.44		. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
15	03503	BERRY Jake Anthony	ZAF	8.17		. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
16	04305	CHEN Charlie Samuel	USA	8.13		. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
17	04901	ADHIKARI MUDIYANSELAGE Keshan Adhikari	LKA	8.13		. Men's Dao (Broadsword)-Group C	Wushu Taolu	Emeishan
1	02405	MALEYEV Kirill	KAZ	9.05	1ST Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
2	04507	KOUPSTAS Iliya	ISR	8.9	1ST Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
3	01319	YOUSSEF OSAMA Abdelhalim Elsaeed	EGY	8.89	1ST Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
4	03408	SRNEC Dominik Ramil	SVK	8.87	2ND Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
5	01205	KORENC Karel	CZE	8.82	2ND Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
6	04303	BRAYTON Marshall Tsan-Wei	USA	8.81	2ND Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
7	01905	BROUSALIS Panagiotis	GRC	8.8	2ND Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
8	01303	AMMAR MOHAMED Ibrahim Ismail	EGY	8.79	2ND Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
9	01509	MARCHESI Giorgio	ITA	8.75	3RD Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
10	04352	SPIRO Oliver Sheldon	USA	8.72	3RD Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
11	01704	EDILASHVILI Saba	GEO	8.7	3RD Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
12	01001	BAI Jiwei	CAN	8.63	3RD Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
13	04002	EL MABROUK Rafed	TUN	8.62	3RD Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
14	01312	MOHAMED ELAGAMI Abdalla Rashad	EGY	8.62	3RD Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
15	01406	DA GAMA BARJA David	PRT	8.58	3RD Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
16	02821	MENEZ ALARCON Arhat	MEX	8.5	3RD Prize	. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
17	01004	ZHANG Jayden Tianyi	CAN	8.5		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
18	01407	DE CIMA FERNANDES Edgar	PRT	8.47		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
19	01709	NUTSUBIDZE Nikolozi	GEO	8.43		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
20	03019	NEDELEA Andrei Mario	ROU	8.42		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
21	03519	SOTHERN Rhyse Kegan	ZAF	8.42		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
22	02414	TRAIZE Miron	KAZ	8.36		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
23	02607	RAINERS Andzans	LVA	8.26		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
24	04908	GUNATUNGA Sapukotanage Maneetha Charanaravinda	LKA	8.2		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
25	03515	MGQIBISA Luvuyolwethu Sphesihle	ZAF	8.02		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
	01310	MALAK MOHAMED Omar Montasser	EGY	(DNS)		. Men's Gun (Cudgel/Staﬀ)-Group C	Wushu Taolu	Emeishan
1	02409	MUSTAFIN Nurlan	KAZ	8.8	1ST Prize	. Men's Jian (Straight Sword)- Group C	Wushu Taolu	Emeishan
2	04355	WAIBLINGER Adrian Hou	USA	8.79	2ND Prize	. Men's Jian (Straight Sword)- Group C	Wushu Taolu	Emeishan
3	00710	LIU Dominik Xinyang	GBR	8.75	3RD Prize	. Men's Jian (Straight Sword)- Group C	Wushu Taolu	Emeishan
4	04340	MARCEL Gavin Julian	USA	8.66	3RD Prize	. Men's Jian (Straight Sword)- Group C	Wushu Taolu	Emeishan
5	04513	PUZIS Timur	ISR	8.65		. Men's Jian (Straight Sword)- Group C	Wushu Taolu	Emeishan
1	00629	ROMANO CARDOSO SILVESTRE Nina	BRA	8.72		. Women's Other Nanquan Routines-Group E	Wushu Taolu	Emeishan
	00106	ROMERO Sabine	FRA	(DNS)		. Women's Other Nanquan Routines-Group E	Wushu Taolu	Emeishan
	02503	HERMANS Rosemary	AUS	(DNS)		. Women's Other Nanquan Routines-Group E	Wushu Taolu	Emeishan
	01909	KOKKINAKI Anna	GRC	(DNS)		. Women's Other Nanquan Routines-Group E	Wushu Taolu	Emeishan
	01411	MATOS COSTA Mafalda	PRT	(DNS)		. Women's Other Nanquan Routines-Group E	Wushu Taolu	Emeishan
	04344	ROVIRA-ALVAREZ Carmen Margarita	USA	(DNS)		. Women's Other Nanquan Routines-Group E	Wushu Taolu	Emeishan
1	01601	ZWAAL Jan Joris	NLD	8.46	1ST Prize	. Men's Shaolinquan-Group B	Wushu Taolu	Emeishan
2	04504	FRENKEL David	ISR	8.43	2ND Prize	. Men's Shaolinquan-Group B	Wushu Taolu	Emeishan
3	00505	HUANACUNI PINEDO Huaskar Soriam	BOL	8.41	3RD Prize	. Men's Shaolinquan-Group B	Wushu Taolu	Emeishan
4	01313	MOHAMED IBRAHIM Mohamed Mokhtar	EGY	8.4		. Men's Shaolinquan-Group B	Wushu Taolu	Emeishan
	00507	LEON RAZNATOVIC Darko Alejandro	BOL	(DNS)		. Men's Shaolinquan-Group B	Wushu Taolu	Emeishan
1	04314	DONG Dennis Bokui	USA	8.57	1ST Prize	. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
2	05102	CHAN Fengze	MAC	8.51	1ST Prize	. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
3	04322	HE Dragon	USA	8.5	2ND Prize	. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
4	03325	WENG Linxu	SGP	8.49	2ND Prize	. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
5	04716	YAP Jun Kai	MYS	8.48	3RD Prize	. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
6	04701	CHIN Shawn	MYS	8.46	3RD Prize	. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
7	03320	TAN Qi Han Darren	SGP	8.43	3RD Prize	. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
8	04373	ZHANG Jason	USA	8.43	3RD Prize	. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
9	04356	WANG Allan Chenxi	USA	8.41		. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
10	02512	ZHOU Zichin	AUS	8.4		. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
11	02823	RAZO ACOSTA Jose Luis	MEX	8.37		. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
12	02826	TORRES RODRIGUEZ Mario Rafael	MEX	8.35		. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
	04310	DIMEGLIO Charlene Jasmine	USA	(DNS)		. Men's Other Barehand Routines -Group A/B	Wushu Taolu	Emeishan
1	04110	KUCUKAKYUZ Kaan	TUR	8.61	1ST Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
2	00609	DE OLIVEIRA PICONE Arthur	BRA	8.6	1ST Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
3	04207	KOVALOV Mykyta	UKR	8.59	1ST Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
4	03112	SILVA VERA Miguel	ESP	8.59	2ND Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
5	02012	LAM Yik Sun, Nathaniel	HKG	8.58	2ND Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
6	00627	PRADO DE MELO Jorge Augusto	BRA	8.57	2ND Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
7	04364	WRINN Benjamin Charles	USA	8.57	2ND Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
8	02411	TELESSINOV Arman	KAZ	8.56	2ND Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
9	04306	CHEN Zheyu	USA	8.56	3RD Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
10	01936	TOUROUTSIKAS Panagiotis	GRC	8.55	3RD Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
11	01905	BROUSALIS Panagiotis	GRC	8.54	3RD Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
12	01710	ONIANI Giorgi	GEO	8.54	3RD Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
13	02204	VIRO Lazuardi Jana	IDN	8.53	3RD Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
14	02903	DERZKO Franciszek Jan	POL	8.53	3RD Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
15	05104	CHEONG Io Kei	MAC	8.53	3RD Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
16	01919	MAKRIS Panagiotis	GRC	8.52	3RD Prize	. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
17	01504	BAZZARA Mario Faris	ITA	8.52		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
18	01204	HUSAK Lukas	CZE	8.51		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
19	03017	MIU Andrei Eduard	ROU	8.51		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
20	01518	TURCHIAROLO Gaetano Attilio	ITA	8.51		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
21	01930	PAPATHANASIOU Theodoros Marios	GRC	8.5		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
22	01913	KREMMYDAS Panagiotis	GRC	8.48		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
23	04924	WITHANAGE Oshan Chalakshana	LKA	8.46		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
24	02821	MENEZ ALARCON Arhat	MEX	8.45		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
25	03005	DINCU Mihai Daniel	ROU	8.44		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
	00304	BENSADOUNE Haithem	DZA	(DNS)		. Men's Other Nanquan Routines-Group C	Wushu Taolu	Emeishan
1	02803	ALVAREZ RUIZ Mario Alejandro	MEX	8.58	1ST Prize	. Men's Yingzhaoquan (Eagle Style)- Group C	Wushu Taolu	Emeishan
2	04211	NAIDA Bohdan	UKR	8.55	2ND Prize	. Men's Yingzhaoquan (Eagle Style)- Group C	Wushu Taolu	Emeishan
3	02607	RAINERS Andzans	LVA	8.52	3RD Prize	. Men's Yingzhaoquan (Eagle Style)- Group C	Wushu Taolu	Emeishan
4	02806	BOJORQUEZ LOPEZ Roger	MEX	8.51	3RD Prize	. Men's Yingzhaoquan (Eagle Style)- Group C	Wushu Taolu	Emeishan
5	02824	RIVAS RODRIGUEZ Humberto	MEX	8.5		. Men's Yingzhaoquan (Eagle Style)- Group C	Wushu Taolu	Emeishan
	04210	KUCHERUK Nikita	UKR	(DNS)		. Men's Yingzhaoquan (Eagle Style)- Group C	Wushu Taolu	Emeishan
1	00707	Jack William CALDICOTT	GBR	8.66	1ST Prize	. Men's Bajiquan-Group C	Wushu Taolu	Emeishan
2	02024	YEUNG Cheuk Yin	HKG	8.62	2ND Prize	. Men's Bajiquan-Group C	Wushu Taolu	Emeishan
3	04327	JULLIAN Banyan Noel Yu Hai	USA	8.54	3RD Prize	. Men's Bajiquan-Group C	Wushu Taolu	Emeishan
4	04303	BRAYTON Marshall Tsan-Wei	USA	8.52	3RD Prize	. Men's Bajiquan-Group C	Wushu Taolu	Emeishan
5	02804	ANTILLON MALDONADO Cristian Ricardo	MEX	8.48		. Men's Bajiquan-Group C	Wushu Taolu	Emeishan
6	01314	ABDALLA WAEL Mostafa Abdelkarim	EGY	8.41		. Men's Bajiquan-Group C	Wushu Taolu	Emeishan
	01310	MALAK MOHAMED Omar Montasser	EGY	(DNS)		. Men's Bajiquan-Group C	Wushu Taolu	Emeishan
	00305	BOUKHENNOUFA Yacine	DZA	(DNS)		. Men's Bajiquan-Group C	Wushu Taolu	Emeishan
1	01303	AMMAR MOHAMED Ibrahim Ismail	EGY	8.64	1ST Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
2	00708	Junayde Ilhan GUVEN	GBR	8.6	1ST Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
3	01706	GERMANOZASHVILI Giorgi	GEO	8.58	2ND Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
4	04366	XIAN Daniel Haocheng	USA	8.56	2ND Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
5	02006	CHOW Yu Hong	HKG	8.56	2ND Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
6	01709	NUTSUBIDZE Nikolozi	GEO	8.54	3RD Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
7	00710	LIU Dominik Xinyang	GBR	8.53	3RD Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
8	02405	MALEYEV Kirill	KAZ	8.52	3RD Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
9	04357	WANG Bryant Xu	USA	8.52	3RD Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
10	02415	TULEYEV Aldiyar	KAZ	8.5	3RD Prize	. Men's Chaquan - Group C	Wushu Taolu	Emeishan
11	04513	PUZIS Timur	ISR	8.49		. Men's Chaquan - Group C	Wushu Taolu	Emeishan
12	04905	DAYARATHNE Thalagahamula Gedara Kavindu Sahan	LKA	8.48		. Men's Chaquan - Group C	Wushu Taolu	Emeishan
13	04335	LU Kelvin Yu	USA	8.45		. Men's Chaquan - Group C	Wushu Taolu	Emeishan
14	04908	GUNATUNGA Sapukotanage Maneetha Charanaravinda	LKA	8.45		. Men's Chaquan - Group C	Wushu Taolu	Emeishan
15	04301	BAI Lawren	USA	8.45		. Men's Chaquan - Group C	Wushu Taolu	Emeishan
16	04901	ADHIKARI MUDIYANSELAGE Keshan Adhikari	LKA	8.38		. Men's Chaquan - Group C	Wushu Taolu	Emeishan
1	02015	LEI Wang Chun	HKG	8.63	1ST Prize	. Men's Huaquan- Group C	Wushu Taolu	Emeishan
2	01704	EDILASHVILI Saba	GEO	8.6	2ND Prize	. Men's Huaquan- Group C	Wushu Taolu	Emeishan
3	04332	LI Jasper Zhen Bao	USA	8.56	3RD Prize	. Men's Huaquan- Group C	Wushu Taolu	Emeishan
4	01001	BAI Jiwei	CAN	8.53	3RD Prize	. Men's Huaquan- Group C	Wushu Taolu	Emeishan
5	02409	MUSTAFIN Nurlan	KAZ	8.49		. Men's Huaquan- Group C	Wushu Taolu	Emeishan
6	05103	CHEOK Wa Weng	MAC	8.48		. Men's Huaquan- Group C	Wushu Taolu	Emeishan
1	01509	MARCHESI Giorgio	ITA	8.61	1ST Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
2	02407	MUKHAMETOV Alizhan	KAZ	8.6	1ST Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
3	01205	KORENC Karel	CZE	8.57	2ND Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
4	04507	KOUPSTAS Iliya	ISR	8.56	2ND Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
5	01317	OMAR EMAD Shehata Tony	EGY	8.55	2ND Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
6	04305	CHEN Charlie Samuel	USA	8.53	3RD Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
7	04505	IFARGAN Yuval	ISR	8.52	3RD Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
8	01319	YOUSSEF OSAMA Abdelhalim Elsaeed	EGY	8.51	3RD Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
9	00711	Matthew Carleton WRIGHT	GBR	8.51	3RD Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
10	04002	EL MABROUK Rafed	TUN	8.5	3RD Prize	. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
11	01903	BREZETOS Georgios	GRC	8.5		. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
12	02312	YOSHIDA Yuhi	JPN	8.5		. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
13	01312	MOHAMED ELAGAMI Abdalla Rashad	EGY	8.49		. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
14	04510	PUZIS Kiril	ISR	8.42		. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
15	02820	MENDEZ COBA Jose Fernando	MEX	8.4		. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
16	02414	TRAIZE Miron	KAZ	8.39		. Men's Shaolinquan-Group C	Wushu Taolu	Emeishan
1	04315	DONG Lucas Bogang	USA	8.61	1ST Prize	. Men's Xingyiquan-Group C	Wushu Taolu	Emeishan
2	02007	HO Ching Hin	HKG	8.6	2ND Prize	. Men's Xingyiquan-Group C	Wushu Taolu	Emeishan
3	04602	BOROOAH Arhaan	IND	8.58	3RD Prize	. Men's Xingyiquan-Group C	Wushu Taolu	Emeishan
4	04375	ZHENG Lin	USA	8.57	3RD Prize	. Men's Xingyiquan-Group C	Wushu Taolu	Emeishan
5	04912	IMI ARACHILLAGE Anuhas Chandupa Ranaweera	LKA	8.4		. Men's Xingyiquan-Group C	Wushu Taolu	Emeishan
6	03515	MGQIBISA Luvuyolwethu Sphesihle	ZAF	8.32		. Men's Xingyiquan-Group C	Wushu Taolu	Emeishan
	04365	WU Brad Tianzhou	USA	(DNS)		. Men's Xingyiquan-Group C	Wushu Taolu	Emeishan
1	04359	WANG Justin Xuming	USA	8.64	1ST Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
2	04349	SHEN Justin	USA	8.6	1ST Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
3	04215	SHYNKARENKO Volodymyr	UKR	8.58	1ST Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
4	04334	LIU Albert	USA	8.54	2ND Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
5	04313	DJUNAIDY Dexton Jax	USA	8.54	2ND Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
6	00613	GALVANINE WILLE Heitor	BRA	8.53	2ND Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
7	04352	SPIRO Oliver Sheldon	USA	8.53	2ND Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
8	04330	LEW Casey Tianyu	USA	8.53	2ND Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
9	04354	VON DEM BRUCH Noah James	USA	8.52	2ND Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
10	02410	PETRAKOVSKIY Denis	KAZ	8.52	3RD Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
11	02416	ZHADIGER Alkarim	KAZ	8.52	3RD Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
12	04355	WAIBLINGER Adrian Hou	USA	8.52	3RD Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
13	04323	HUANG Daniel Jiang	USA	8.5	3RD Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
14	03503	BERRY Jake Anthony	ZAF	8.5	3RD Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
15	04340	MARCEL Gavin Julian	USA	8.49	3RD Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
16	04316	FARR Preston Minghan	USA	8.48	3RD Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
17	01004	ZHANG Jayden Tianyi	CAN	8.48	3RD Prize	. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
18	01308	MAHMOUD AHMED Abdalla Abdelhalim	EGY	8.48		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
19	03408	SRNEC Dominik Ramil	SVK	8.47		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
20	01406	DA GAMA BARJA David	PRT	8.47		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
21	01407	DE CIMA FERNANDES Edgar	PRT	8.46		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
22	02016	LEUNG Wai Man	HKG	8.46		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
23	02609	SEMYESHKIN Konstantin	LVA	8.45		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
24	04325	HUANG Samuel Jiang	USA	8.45		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
25	03519	SOTHERN Rhyse Kegan	ZAF	8.44		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
26	03019	NEDELEA Andrei Mario	ROU	8.44		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
27	01311	MOHAMED AHMED Fathalla Taha	EGY	8.42		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
28	01934	TASOPOULOS Ioannis	GRC	8.42		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
	04331	LI Chengrui	USA	(DNS)		. Men's Other Barehand Routines-Group C	Wushu Taolu	Emeishan
